"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Acolyte Realm","-","Runic","-","19.42%","Golem",175122
"Acolyte Realm","-","Runic","-","18.48%","Gorgon",175122
"Acolyte Realm","-","Runic","-","17.62%","Spectre",175122
"Acolyte Realm","-","Runic","-","16.35%","Sorcerer",175122
"Acolyte Realm","-","Runic","-","8.29%","Acolyte",175122
"Acolyte Realm","-","Runic","-","8.19%","Lich",175122
"Acolyte Realm","-","Runic","-","8.17%","Wight",175122
"Acolyte Realm","-","Runic","-","2.02%","Chrono",175122
"Acolyte Realm","-","Runic","-","1.47%","Gate Guardian",175122
"Acolyte Realm","-","Ancient","-","26.90%","Golem",21617
"Acolyte Realm","-","Ancient","-","24.90%","Spectre",21617
"Acolyte Realm","-","Ancient","-","20.21%","Gorgon",21617
"Acolyte Realm","-","Ancient","-","20.08%","Sorcerer",21617
"Acolyte Realm","-","Ancient","-","7.90%","Gate Guardian",21617
"Acolyte Realm","-","Radioactive Blue","-","33.67%","Golem",14664
"Acolyte Realm","-","Radioactive Blue","-","32.69%","Gate Guardian",14664
"Acolyte Realm","-","Radioactive Blue","-","13.51%","Mutated Grey",14664
"Acolyte Realm","-","Radioactive Blue","-","12.94%","Mutated White",14664
"Acolyte Realm","-","Radioactive Blue","-","6.85%","Mutated Brown",14664
"Acolyte Realm","-","Radioactive Blue","-","0.33%","Black Widow",14664
