"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Afterword Acres","1x","Gouda/Brie","-","39.49%","Sap Stealer",8319
"Afterword Acres","1x","Gouda/Brie","-","35.36%","Bark Burner",8319
"Afterword Acres","1x","Gouda/Brie","-","25.15%","Branch Breaker",8319
"Afterword Acres","2x","Gouda/Brie","-","35.22%","Bark Burner",11371
"Afterword Acres","2x","Gouda/Brie","-","34.42%","Sap Stealer",11371
"Afterword Acres","2x","Gouda/Brie","-","25.20%","Branch Breaker",11371
"Afterword Acres","2x","Gouda/Brie","-","5.15%","Herbicidal Maniac",11371
"Afterword Acres","4x","Gouda/Brie","-","29.69%","Branch Breaker",16441
"Afterword Acres","4x","Gouda/Brie","-","25.00%","Herbicidal Maniac",16441
"Afterword Acres","4x","Gouda/Brie","-","24.52%","Sap Stealer",16441
"Afterword Acres","4x","Gouda/Brie","-","20.78%","Bark Burner",16441
"Afterword Acres","8x","Gouda/Brie","-","49.18%","Herbicidal Maniac",5047
"Afterword Acres","8x","Gouda/Brie","-","20.69%","Branch Breaker",5047
"Afterword Acres","8x","Gouda/Brie","-","15.91%","Bark Burner",5047
"Afterword Acres","8x","Gouda/Brie","-","14.23%","Sap Stealer",5047
"Afterword Acres","1x","SB+","-","32.18%","Bark Burner",550
"Afterword Acres","1x","SB+","-","25.09%","Sap Stealer",550
"Afterword Acres","1x","SB+","-","21.64%","Moss Comber",550
"Afterword Acres","1x","SB+","-","21.09%","Branch Breaker",550
"Afterword Acres","2x","SB+","-","30.62%","Bark Burner",1398
"Afterword Acres","2x","SB+","-","25.82%","Moss Comber",1398
"Afterword Acres","2x","SB+","-","19.38%","Sap Stealer",1398
"Afterword Acres","2x","SB+","-","18.88%","Branch Breaker",1398
"Afterword Acres","2x","SB+","-","5.29%","Herbicidal Maniac",1398
"Afterword Acres","4x","SB+","-","25.83%","Moss Comber",3442
"Afterword Acres","4x","SB+","-","24.55%","Herbicidal Maniac",3442
"Afterword Acres","4x","SB+","-","19.70%","Branch Breaker",3442
"Afterword Acres","4x","SB+","-","19.38%","Sap Stealer",3442
"Afterword Acres","4x","SB+","-","10.55%","Bark Burner",3442
"Afterword Acres","8x","SB+","-","47.43%","Herbicidal Maniac",1324
"Afterword Acres","8x","SB+","-","23.11%","Moss Comber",1324
"Afterword Acres","8x","SB+","-","13.29%","Branch Breaker",1324
"Afterword Acres","8x","SB+","-","9.52%","Sap Stealer",1324
"Afterword Acres","8x","SB+","-","6.65%","Bark Burner",1324
"Afterword Acres","1x","Metaphor Manchego","-","40.17%","Twisted Twig",1561
"Afterword Acres","1x","Metaphor Manchego","-","36.32%","Sardonic Sapling",1561
"Afterword Acres","1x","Metaphor Manchego","-","23.51%","Sour Sprout",1561
"Afterword Acres","2x","Metaphor Manchego","-","36.39%","Sardonic Sapling",4391
"Afterword Acres","2x","Metaphor Manchego","-","35.46%","Twisted Twig",4391
"Afterword Acres","2x","Metaphor Manchego","-","23.55%","Sour Sprout",4391
"Afterword Acres","2x","Metaphor Manchego","-","4.60%","Herbicidal Maniac",4391
"Afterword Acres","4x","Metaphor Manchego","-","29.02%","Sour Sprout",13722
"Afterword Acres","4x","Metaphor Manchego","-","25.16%","Herbicidal Maniac",13722
"Afterword Acres","4x","Metaphor Manchego","-","24.58%","Twisted Twig",13722
"Afterword Acres","4x","Metaphor Manchego","-","21.24%","Sardonic Sapling",13722
"Afterword Acres","8x","Metaphor Manchego","-","49.75%","Herbicidal Maniac",10419
"Afterword Acres","8x","Metaphor Manchego","-","20.40%","Twisted Twig",10419
"Afterword Acres","8x","Metaphor Manchego","-","18.94%","Sour Sprout",10419
"Afterword Acres","8x","Metaphor Manchego","-","10.92%","Sardonic Sapling",10419
"Afterword Acres","1x","Allegory Anari","-","39.27%","Brash Birch",219
"Afterword Acres","1x","Allegory Anari","-","38.81%","Maniacal Maple",219
"Afterword Acres","1x","Allegory Anari","-","21.92%","Wailing Willow",219
"Afterword Acres","2x","Allegory Anari","-","35.38%","Brash Birch",831
"Afterword Acres","2x","Allegory Anari","-","35.02%","Maniacal Maple",831
"Afterword Acres","2x","Allegory Anari","-","24.19%","Wailing Willow",831
"Afterword Acres","2x","Allegory Anari","-","5.42%","Herbicidal Maniac",831
"Afterword Acres","4x","Allegory Anari","-","30.37%","Wailing Willow",4448
"Afterword Acres","4x","Allegory Anari","-","25.07%","Herbicidal Maniac",4448
"Afterword Acres","4x","Allegory Anari","-","24.03%","Brash Birch",4448
"Afterword Acres","4x","Allegory Anari","-","20.53%","Maniacal Maple",4448
"Afterword Acres","8x","Allegory Anari","-","49.70%","Herbicidal Maniac",15961
"Afterword Acres","8x","Allegory Anari","-","19.79%","Wailing Willow",15961
"Afterword Acres","8x","Allegory Anari","-","19.72%","Brash Birch",15961
"Afterword Acres","8x","Allegory Anari","-","10.79%","Maniacal Maple",15961
"Afterword Acres","2x","Symbolic Sirene","-","38.71%","Furious Fir",155
"Afterword Acres","2x","Symbolic Sirene","-","32.90%","Heinous Hemlock",155
"Afterword Acres","2x","Symbolic Sirene","-","21.29%","Rampaging Redwood",155
"Afterword Acres","2x","Symbolic Sirene","-","7.10%","Blight Incarnate",155
"Afterword Acres","4x","Symbolic Sirene","-","29.86%","Rampaging Redwood",1326
"Afterword Acres","4x","Symbolic Sirene","-","25.11%","Heinous Hemlock",1326
"Afterword Acres","4x","Symbolic Sirene","-","25.11%","Blight Incarnate",1326
"Afterword Acres","4x","Symbolic Sirene","-","19.91%","Furious Fir",1326
"Afterword Acres","8x","Symbolic Sirene","-","49.36%","Blight Incarnate",5987
"Afterword Acres","8x","Symbolic Sirene","-","19.89%","Heinous Hemlock",5987
"Afterword Acres","8x","Symbolic Sirene","-","19.48%","Rampaging Redwood",5987
"Afterword Acres","8x","Symbolic Sirene","-","11.27%","Furious Fir",5987
