"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Burroughs Rift","Mist Level 0","Marble String","-","21.18%","Amplified White",7961
"Burroughs Rift","Mist Level 0","Marble String","-","20.29%","Rift Bio Engineer",7961
"Burroughs Rift","Mist Level 0","Marble String","-","15.16%","Cybernetic Specialist",7961
"Burroughs Rift","Mist Level 0","Marble String","-","14.42%","Amplified Brown",7961
"Burroughs Rift","Mist Level 0","Marble String","-","9.53%","Amplified Grey",7961
"Burroughs Rift","Mist Level 0","Marble String","-","4.96%","Evil Scientist",7961
"Burroughs Rift","Mist Level 0","Marble String","-","4.94%","Automated Sentry",7961
"Burroughs Rift","Mist Level 0","Marble String","-","4.77%","Surgeon Bot",7961
"Burroughs Rift","Mist Level 0","Marble String","-","4.75%","Doktor",7961
"Burroughs Rift","Mist Level 0","Swiss String","-","19.85%","Cybernetic Specialist",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","19.63%","Rift Bio Engineer",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","14.72%","Automated Sentry",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","14.70%","Amplified Brown",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","9.73%","Surgeon Bot",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","5.79%","Amplified White",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","5.26%","Evil Scientist",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","5.23%","Doktor",15637
"Burroughs Rift","Mist Level 0","Swiss String","-","5.10%","Amplified Grey",15637
"Burroughs Rift","Mist Level 0","Brie String","-","19.87%","Evil Scientist",40519
"Burroughs Rift","Mist Level 0","Brie String","-","19.54%","Doktor",40519
"Burroughs Rift","Mist Level 0","Brie String","-","14.95%","Surgeon Bot",40519
"Burroughs Rift","Mist Level 0","Brie String","-","14.84%","Automated Sentry",40519
"Burroughs Rift","Mist Level 0","Brie String","-","10.03%","Rift Bio Engineer",40519
"Burroughs Rift","Mist Level 0","Brie String","-","5.96%","Amplified White",40519
"Burroughs Rift","Mist Level 0","Brie String","-","5.03%","Amplified Brown",40519
"Burroughs Rift","Mist Level 0","Brie String","-","4.91%","Cybernetic Specialist",40519
"Burroughs Rift","Mist Level 0","Brie String","-","4.88%","Amplified Grey",40519
"Burroughs Rift","Mist Level 0","Magical String","-","20.15%","Doktor",19906
"Burroughs Rift","Mist Level 0","Magical String","-","15.62%","Portable Generator",19906
"Burroughs Rift","Mist Level 0","Magical String","-","15.44%","Surgeon Bot",19906
"Burroughs Rift","Mist Level 0","Magical String","-","15.20%","Evil Scientist",19906
"Burroughs Rift","Mist Level 0","Magical String","-","10.16%","Automated Sentry",19906
"Burroughs Rift","Mist Level 0","Magical String","-","6.15%","Amplified White",19906
"Burroughs Rift","Mist Level 0","Magical String","-","5.11%","Cybernetic Specialist",19906
"Burroughs Rift","Mist Level 0","Magical String","-","5.09%","Amplified Brown",19906
"Burroughs Rift","Mist Level 0","Magical String","-","5.01%","Amplified Grey",19906
"Burroughs Rift","Mist Level 0","Magical String","-","2.06%","Rift Bio Engineer",19906
"Burroughs Rift","Mist Level 1-5","Marble String","-","30.43%","Tech Ravenous Zombie",677
