"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Cerulean Skyport","Docked","Brie/Gouda","-","45.40%","Port Pillager",4513
"Cerulean Skyport","Docked","Brie/Gouda","-","39.44%","Amateur Knife Juggler",4513
"Cerulean Skyport","Docked","Brie/Gouda","-","15.16%","Treacherous Dock Lurker",4513
"Cerulean Skyport","Docked","ESB+","-","43.40%","Amateur Knife Juggler",53
"Cerulean Skyport","Docked","ESB+","-","41.51%","Port Pillager",53
"Cerulean Skyport","Docked","ESB+","-","15.09%","Treacherous Dock Lurker",53
"Cerulean Skyport","Docked","SB+","-","51.86%","Treacherous Dock Lurker",916
"Cerulean Skyport","Docked","SB+","-","25.44%","Amateur Knife Juggler",916
"Cerulean Skyport","Docked","SB+","-","22.71%","Port Pillager",916
"Cerulean Skyport","Docked","Sky Pirate Swiss","-","35.71%","Stubby Scrap Scavenger",5506
"Cerulean Skyport","Docked","Sky Pirate Swiss","-","34.42%","Sly Skulking Scrapper",5506
"Cerulean Skyport","Docked","Sky Pirate Swiss","-","29.88%","Hefty Hulking Hauler",5506
"Cerulean Skyport","Docked","Sky Raider Romano","-","32.22%","Sly Skulking Scrapper",360
"Cerulean Skyport","Docked","Sky Raider Romano","-","27.78%","Stubby Scrap Scavenger",360
"Cerulean Skyport","Docked","Sky Raider Romano","-","24.72%","Hefty Hulking Hauler",360
"Cerulean Skyport","Docked","Sky Raider Romano","-","15.28%","Quarrelsome Quartermaster",360
"Cerulean Skyport","Docked","Aurora Bocconcini","-","100.00%","Cluttergrin the Commodore of Curiosities",522
"Cerulean Skyport","Shipping - Atmo","Sky Pirate Swiss","-","36.00%","Careless Canister Rider",7325
"Cerulean Skyport","Shipping - Atmo","Sky Pirate Swiss","-","34.81%","Covetous Canister Thief",7325
"Cerulean Skyport","Shipping - Atmo","Sky Pirate Swiss","-","29.19%","Colossal Canister Collector",7325
"Cerulean Skyport","Shipping - Atmo","Sky Raider Romano","-","29.98%","Covetous Canister Thief",924
"Cerulean Skyport","Shipping - Atmo","Sky Raider Romano","-","29.00%","Colossal Canister Collector",924
"Cerulean Skyport","Shipping - Atmo","Sky Raider Romano","-","21.10%","Careless Canister Rider",924
"Cerulean Skyport","Shipping - Atmo","Sky Raider Romano","-","19.91%","Quarrelsome Quartermaster",924
"Cerulean Skyport","Shipping - Atmo","Aurora Bocconcini","-","100.00%","Slipstream the Virtuoso of Vapours",837
"Cerulean Skyport","Shipping - Mining","Sky Pirate Swiss","-","35.21%","Swift Stone Snatcher",7189
"Cerulean Skyport","Shipping - Mining","Sky Pirate Swiss","-","34.02%","Greedy Stone Grappler",7189
"Cerulean Skyport","Shipping - Mining","Sky Pirate Swiss","-","30.77%","Boulder and Pebble",7189
"Cerulean Skyport","Shipping - Mining","Sky Raider Romano","-","29.84%","Greedy Stone Grappler",1478
"Cerulean Skyport","Shipping - Mining","Sky Raider Romano","-","29.09%","Boulder and Pebble",1478
"Cerulean Skyport","Shipping - Mining","Sky Raider Romano","-","20.84%","Quarrelsome Quartermaster",1478
"Cerulean Skyport","Shipping - Mining","Sky Raider Romano","-","20.23%","Swift Stone Snatcher",1478
"Cerulean Skyport","Shipping - Mining","Aurora Bocconcini","-","100.00%","Craggerclaw the Magnate of Minerals",1067
"Cerulean Skyport","Shipping - Spice","Sky Pirate Swiss","-","35.44%","Acrobatic Aurora Bandit",5807
"Cerulean Skyport","Shipping - Spice","Sky Pirate Swiss","-","34.80%","Arrogant Aurora Connoisseur",5807
"Cerulean Skyport","Shipping - Spice","Sky Pirate Swiss","-","29.76%","Audacious Aurora Embezzler",5807
"Cerulean Skyport","Shipping - Spice","Sky Raider Romano","-","30.46%","Audacious Aurora Embezzler",2991
"Cerulean Skyport","Shipping - Spice","Sky Raider Romano","-","29.05%","Acrobatic Aurora Bandit",2991
"Cerulean Skyport","Shipping - Spice","Sky Raider Romano","-","20.76%","Arrogant Aurora Connoisseur",2991
"Cerulean Skyport","Shipping - Spice","Sky Raider Romano","-","19.73%","Quarrelsome Quartermaster",2991
"Cerulean Skyport","Shipping - Spice","Aurora Bocconcini","-","100.00%","Shimmerdread the Sovereign of Spice",3948
"Cerulean Skyport","Intercepting - Tribal Isles","Sky Pirate Swiss","-","50.00%","Captain Crook",4
"Cerulean Skyport","Intercepting - Tribal Isles","Sky Pirate Swiss","-","25.00%","Trailblazer",4
"Cerulean Skyport","Intercepting - Tribal Isles","Sky Pirate Swiss","-","25.00%","Healer",4
"Cerulean Skyport","Intercepting - Tribal Isles","Aurora Bocconcini","-","59.28%","Captain Crook",167
"Cerulean Skyport","Intercepting - Tribal Isles","Aurora Bocconcini","-","14.97%","Pathfinder",167
"Cerulean Skyport","Intercepting - Tribal Isles","Aurora Bocconcini","-","14.37%","Wordsmith",167
"Cerulean Skyport","Intercepting - Tribal Isles","Aurora Bocconcini","-","11.38%","Taleweaver",167
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Pirate Swiss","-","36.36%","Desert Archer",33
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Pirate Swiss","-","18.18%","Desert Soldier",33
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Pirate Swiss","-","15.15%","Vanguard",33
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Pirate Swiss","-","9.09%","Sentinel",33
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Pirate Swiss","-","9.09%","Captain Crook",33
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Pirate Swiss","-","6.06%","Flame Warrior",33
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Pirate Swiss","-","6.06%","Flame Archer",33
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Raider Romano","-","22.22%","Sentinel",27
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Raider Romano","-","18.52%","Desert Archer",27
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Raider Romano","-","18.52%","Vanguard",27
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Raider Romano","-","14.81%","Flame Archer",27
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Raider Romano","-","11.11%","Captain Crook",27
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Raider Romano","-","11.11%","Flame Warrior",27
"Cerulean Skyport","Intercepting - Fiery Warpath","Sky Raider Romano","-","3.70%","Desert Soldier",27
"Cerulean Skyport","Intercepting - Fiery Warpath","Aurora Bocconcini","-","64.44%","Captain Crook",793
"Cerulean Skyport","Intercepting - Fiery Warpath","Aurora Bocconcini","-","13.62%","Crimson Ranger",793
"Cerulean Skyport","Intercepting - Fiery Warpath","Aurora Bocconcini","-","11.35%","Crimson Watch",793
"Cerulean Skyport","Intercepting - Fiery Warpath","Aurora Bocconcini","-","10.59%","Crimson Titan",793
"Cerulean Skyport","Intercepting - Living Garden","Sky Pirate Swiss","-","33.33%","Bark",24
"Cerulean Skyport","Intercepting - Living Garden","Sky Pirate Swiss","-","25.00%","Thistle",24
"Cerulean Skyport","Intercepting - Living Garden","Sky Pirate Swiss","-","12.50%","Captain Crook",24
"Cerulean Skyport","Intercepting - Living Garden","Sky Pirate Swiss","-","8.33%","Shroom",24
