"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Claw Shot City","No Poster","SB+","-","16.94%","Shopkeeper",620
"Claw Shot City","No Poster","SB+","-","16.61%","Tumbleweed",620
"Claw Shot City","No Poster","SB+","-","16.61%","Lasso Cowgirl",620
"Claw Shot City","No Poster","SB+","-","14.84%","Ruffian",620
"Claw Shot City","No Poster","SB+","-","12.90%","Saloon Gal",620
"Claw Shot City","No Poster","SB+","-","10.48%","Bounty Hunter",620
"Claw Shot City","No Poster","SB+","-","8.39%","Prospector",620
"Claw Shot City","No Poster","SB+","-","3.23%","Pyrite",620
"Claw Shot City","Has Poster","SB+","-","24.99%","Bounty Hunter",2829
"Claw Shot City","Has Poster","SB+","-","13.01%","Ruffian",2829
"Claw Shot City","Has Poster","SB+","-","12.80%","Lasso Cowgirl",2829
"Claw Shot City","Has Poster","SB+","-","12.76%","Tumbleweed",2829
"Claw Shot City","Has Poster","SB+","-","12.58%","Shopkeeper",2829
"Claw Shot City","Has Poster","SB+","-","12.37%","Saloon Gal",2829
"Claw Shot City","Has Poster","SB+","-","8.02%","Prospector",2829
"Claw Shot City","Has Poster","SB+","-","3.46%","Pyrite",2829
"Claw Shot City","No Poster","Standard","-","16.55%","Shopkeeper",1444
"Claw Shot City","No Poster","Standard","-","16.27%","Lasso Cowgirl",1444
"Claw Shot City","No Poster","Standard","-","15.79%","Saloon Gal",1444
"Claw Shot City","No Poster","Standard","-","15.79%","Tumbleweed",1444
"Claw Shot City","No Poster","Standard","-","15.03%","Ruffian",1444
"Claw Shot City","No Poster","Standard","-","9.97%","Bounty Hunter",1444
"Claw Shot City","No Poster","Standard","-","9.63%","Prospector",1444
"Claw Shot City","No Poster","Standard","-","0.97%","Pyrite",1444
"Claw Shot City","Has Poster","Standard","-","22.38%","Bounty Hunter",3620
"Claw Shot City","Has Poster","Standard","-","14.64%","Tumbleweed",3620
"Claw Shot City","Has Poster","Standard","-","14.25%","Lasso Cowgirl",3620
"Claw Shot City","Has Poster","Standard","-","13.56%","Ruffian",3620
"Claw Shot City","Has Poster","Standard","-","13.43%","Shopkeeper",3620
"Claw Shot City","Has Poster","Standard","-","13.34%","Saloon Gal",3620
"Claw Shot City","Has Poster","Standard","-","7.43%","Prospector",3620
"Claw Shot City","Has Poster","Standard","-","0.97%","Pyrite",3620
