"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Draconic Depths","Crucible Forge","Gouda/Brie","-","14.23%","Colonel Crisp",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","14.10%","Noxio Sludgewell",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","14.00%","Dreck Grimehaven",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","13.97%","Blizzara Winterosa",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","13.92%","Torchbearer Tinderhelm",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","13.78%","Iciclesius the Defender",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","6.04%","Squire Sizzleton",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","5.03%","Frostnip Icebound",141742
"Draconic Depths","Crucible Forge","Gouda/Brie","-","4.93%","Goopus Dredgemore",141742
"Draconic Depths","Crucible Forge","SB+","-","16.74%","Squire Sizzleton",26998
"Draconic Depths","Crucible Forge","SB+","-","16.37%","Goopus Dredgemore",26998
"Draconic Depths","Crucible Forge","SB+","-","15.98%","Frostnip Icebound",26998
"Draconic Depths","Crucible Forge","SB+","-","12.38%","Noxio Sludgewell",26998
"Draconic Depths","Crucible Forge","SB+","-","12.18%","Blizzara Winterosa",26998
"Draconic Depths","Crucible Forge","SB+","-","11.67%","Torchbearer Tinderhelm",26998
"Draconic Depths","Crucible Forge","SB+","-","4.98%","Colonel Crisp",26998
"Draconic Depths","Crucible Forge","SB+","-","4.96%","Iciclesius the Defender",26998
"Draconic Depths","Crucible Forge","SB+","-","4.73%","Dreck Grimehaven",26998
"Draconic Depths","Crucible Forge","Fiery Fontina","-","44.65%","Torchbearer Tinderhelm",20247
"Draconic Depths","Crucible Forge","Fiery Fontina","-","39.46%","Colonel Crisp",20247
"Draconic Depths","Crucible Forge","Fiery Fontina","-","15.89%","Squire Sizzleton",20247
"Draconic Depths","Crucible Forge","Icy Isabirra","-","44.30%","Blizzara Winterosa",21294
"Draconic Depths","Crucible Forge","Icy Isabirra","-","39.85%","Iciclesius the Defender",21294
"Draconic Depths","Crucible Forge","Icy Isabirra","-","15.85%","Frostnip Icebound",21294
"Draconic Depths","Crucible Forge","Poisonous Provolone","-","44.63%","Noxio Sludgewell",20447
"Draconic Depths","Crucible Forge","Poisonous Provolone","-","39.34%","Dreck Grimehaven",20447
"Draconic Depths","Crucible Forge","Poisonous Provolone","-","16.03%","Goopus Dredgemore",20447
"Draconic Depths","Crucible Forge","Elemental Emmental","-","100.00%","Tranquilia Protecticus",6676
"Draconic Depths","Cavern - Elemental 0-99","Fiery Fontina","-","65.53%","Crematio Scorchworth",618
"Draconic Depths","Cavern - Elemental 0-99","Fiery Fontina","-","34.47%","Flamina Cinderbreath",618
"Draconic Depths","Cavern - Elemental 0-99","Icy Isabirra","-","66.67%","Rimeus Polarblast",600
"Draconic Depths","Cavern - Elemental 0-99","Icy Isabirra","-","33.33%","Frigidocius Coldshot",600
"Draconic Depths","Cavern - Elemental 0-99","Poisonous Provolone","-","62.78%","Malignus Vilestrom",540
"Draconic Depths","Cavern - Elemental 0-99","Poisonous Provolone","-","37.22%","Venomona Festerbloom",540
"Draconic Depths","Cavern - Elemental 0-99","Elemental Emmental","-","65.10%","Absolutia Harmonius",2676
"Draconic Depths","Cavern - Elemental 0-99","Elemental Emmental","-","34.90%","Magnatius Majestica",2676
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","17.47%","Blizzara Winterosa",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","14.46%","Noxio Sludgewell",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","12.35%","Torchbearer Tinderhelm",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","11.75%","Squire Sizzleton",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","10.24%","Colonel Crisp",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","10.24%","Frostnip Icebound",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","8.73%","Iciclesius the Defender",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","8.13%","Dreck Grimehaven",332
"Draconic Depths","Cavern - Elemental 0-99","SB+/Gouda/Brie","-","6.63%","Goopus Dredgemore",332
