"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Epilogue Falls","Sparse Morsel","Metaphor Manchego","-","42.01%","Menacing Medusozoa",219
"Epilogue Falls","Sparse Morsel","Metaphor Manchego","-","32.88%","Anguished Anemone",219
"Epilogue Falls","Sparse Morsel","Metaphor Manchego","-","25.11%","Belligerent Berghia",219
"Epilogue Falls","Sparse Morsel","Allegory Anari","-","43.88%","Loutish Loach",139
"Epilogue Falls","Sparse Morsel","Allegory Anari","-","35.97%","Pesky Pleco",139
"Epilogue Falls","Sparse Morsel","Allegory Anari","-","20.14%","Shifty Shrimp",139
"Epilogue Falls","Sparse Morsel","Symbolic Sirene","-","42.42%","Chaotic Chiton",363
"Epilogue Falls","Sparse Morsel","Symbolic Sirene","-","35.81%","Killer Krill",363
"Epilogue Falls","Sparse Morsel","Symbolic Sirene","-","21.76%","Muscular Mussel",363
"Epilogue Falls","Common Morsel","Metaphor Manchego","-","36.81%","Menacing Medusozoa",182
"Epilogue Falls","Common Morsel","Metaphor Manchego","-","34.62%","Anguished Anemone",182
"Epilogue Falls","Common Morsel","Metaphor Manchego","-","28.57%","Belligerent Berghia",182
"Epilogue Falls","Abundant Morsel","Metaphor Manchego","-","38.66%","Menacing Medusozoa",238
"Epilogue Falls","Abundant Morsel","Metaphor Manchego","-","36.55%","Anguished Anemone",238
"Epilogue Falls","Abundant Morsel","Metaphor Manchego","-","24.79%","Belligerent Berghia",238
"Epilogue Falls","Abundant Morsel","Symbolic Sirene","-","41.71%","Chaotic Chiton",211
"Epilogue Falls","Abundant Morsel","Symbolic Sirene","-","33.65%","Killer Krill",211
"Epilogue Falls","Abundant Morsel","Symbolic Sirene","-","24.64%","Muscular Mussel",211
"Epilogue Falls","Sparse Halophyte","Metaphor Manchego","-","38.10%","Anguished Anemone",231
"Epilogue Falls","Sparse Halophyte","Metaphor Manchego","-","36.80%","Menacing Medusozoa",231
"Epilogue Falls","Sparse Halophyte","Metaphor Manchego","-","25.11%","Belligerent Berghia",231
"Epilogue Falls","Common Halophyte","Metaphor Manchego","-","38.46%","Menacing Medusozoa",299
"Epilogue Falls","Common Halophyte","Metaphor Manchego","-","35.79%","Anguished Anemone",299
"Epilogue Falls","Common Halophyte","Metaphor Manchego","-","25.75%","Belligerent Berghia",299
"Epilogue Falls","Common Halophyte","Allegory Anari","-","44.44%","Loutish Loach",126
"Epilogue Falls","Common Halophyte","Allegory Anari","-","35.71%","Pesky Pleco",126
