"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Floating Islands","Launch Pad","SB+","-","34.26%","Cloud Miner",34347
"Floating Islands","Launch Pad","SB+","-","30.98%","Launchpad Labourer",34347
"Floating Islands","Launch Pad","SB+","-","20.69%","Skydiver",34347
"Floating Islands","Launch Pad","SB+","-","14.08%","Sky Greaser",34347
"Floating Islands","Launch Pad","Gouda","-","40.74%","Launchpad Labourer",154818
"Floating Islands","Launch Pad","Gouda","-","37.55%","Sky Greaser",154818
"Floating Islands","Launch Pad","Gouda","-","21.71%","Skydiver",154818
"Floating Islands","Low|High - 1x Pirates","Sky Pirate Swiss","-","50.68%","Suave Pirate",26658
"Floating Islands","Low|High - 1x Pirates","Sky Pirate Swiss","-","29.87%","Cutthroat Pirate",26658
"Floating Islands","Low|High - 1x Pirates","Sky Pirate Swiss","-","19.46%","Cutthroat Cannoneer",26658
"Floating Islands","Low|High - 2x Pirates","Sky Pirate Swiss","-","26.66%","Mairitime Pirate",201489
"Floating Islands","Low|High - 2x Pirates","Sky Pirate Swiss","-","19.98%","Scarlet Revenger",201489
"Floating Islands","Low|High - 2x Pirates","Sky Pirate Swiss","-","19.86%","Admiral Cloudbeard",201489
"Floating Islands","Low|High - 2x Pirates","Sky Pirate Swiss","-","13.23%","Cutthroat Pirate",201489
"Floating Islands","Low|High - 2x Pirates","Sky Pirate Swiss","-","10.34%","Suave Pirate",201489
"Floating Islands","Low|High - 2x Pirates","Sky Pirate Swiss","-","9.94%","Cutthroat Cannoneer",201489
"Floating Islands","Palace - 1x Pirates","Sky Pirate Swiss","-","50.18%","Suave Pirate",2830
"Floating Islands","Palace - 1x Pirates","Sky Pirate Swiss","-","30.25%","Cutthroat Pirate",2830
"Floating Islands","Palace - 1x Pirates","Sky Pirate Swiss","-","19.58%","Cutthroat Cannoneer",2830
"Floating Islands","Palace - 2x Pirates","Sky Pirate Swiss","-","27.66%","Mairitime Pirate",3807
"Floating Islands","Palace - 2x Pirates","Sky Pirate Swiss","-","19.86%","Admiral Cloudbeard",3807
"Floating Islands","Palace - 2x Pirates","Sky Pirate Swiss","-","19.65%","Scarlet Revenger",3807
"Floating Islands","Palace - 2x Pirates","Sky Pirate Swiss","-","13.42%","Cutthroat Pirate",3807
"Floating Islands","Palace - 2x Pirates","Sky Pirate Swiss","-","9.90%","Suave Pirate",3807
"Floating Islands","Palace - 2x Pirates","Sky Pirate Swiss","-","9.51%","Cutthroat Cannoneer",3807
"Floating Islands","Palace - 3x Pirates","Sky Pirate Swiss","-","20.52%","Peggy the Plunderer",8235
"Floating Islands","Palace - 3x Pirates","Sky Pirate Swiss","-","20.26%","Mairitime Pirate",8235
"Floating Islands","Palace - 3x Pirates","Sky Pirate Swiss","-","19.53%","Admiral Cloudbeard",8235
"Floating Islands","Palace - 3x Pirates","Sky Pirate Swiss","-","14.60%","Scarlet Revenger",8235
"Floating Islands","Palace - 3x Pirates","Sky Pirate Swiss","-","9.93%","Cutthroat Pirate",8235
"Floating Islands","Palace - 3x Pirates","Sky Pirate Swiss","-","7.60%","Suave Pirate",8235
"Floating Islands","Palace - 3x Pirates","Sky Pirate Swiss","-","7.57%","Cutthroat Cannoneer",8235
"Floating Islands","Palace - 4x Pirates","Sky Pirate Swiss","-","39.42%","Peggy the Plunderer",47118
"Floating Islands","Palace - 4x Pirates","Sky Pirate Swiss","-","23.14%","Mairitime Pirate",47118
