"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fort Rox","Day","Gouda","-","29.82%","Mischievous Meteorite Miner",181755
"Fort Rox","Day","Gouda","-","29.74%","Meteorite Miner",181755
"Fort Rox","Day","Gouda","-","17.62%","Hardworking Hauler",181755
"Fort Rox","Day","Gouda","-","11.89%","Meteorite Snacker",181755
"Fort Rox","Day","Gouda","-","5.88%","Meteorite Mover",181755
"Fort Rox","Day","Gouda","-","5.05%","Mining Materials Manager",181755
"Fort Rox","Day","Brie","-","29.86%","Mischievous Meteorite Miner",30272
"Fort Rox","Day","Brie","-","29.35%","Meteorite Miner",30272
"Fort Rox","Day","Brie","-","18.08%","Hardworking Hauler",30272
"Fort Rox","Day","Brie","-","11.93%","Meteorite Snacker",30272
"Fort Rox","Day","Brie","-","5.89%","Meteorite Mover",30272
"Fort Rox","Day","Brie","-","4.90%","Mining Materials Manager",30272
"Fort Rox","Day","SB+","-","24.82%","Meteorite Miner",11058
"Fort Rox","Day","SB+","-","23.59%","Mischievous Meteorite Miner",11058
"Fort Rox","Day","SB+","-","16.88%","Hardworking Hauler",11058
"Fort Rox","Day","SB+","-","16.54%","Mining Materials Manager",11058
"Fort Rox","Day","SB+","-","15.57%","Meteorite Snacker",11058
"Fort Rox","Day","SB+","-","2.59%","Meteorite Mover",11058
"Fort Rox","Day","Crescent","-","25.71%","Mischievous Meteorite Miner",7823
"Fort Rox","Day","Crescent","-","23.65%","Meteorite Miner",7823
"Fort Rox","Day","Crescent","-","20.89%","Meteorite Snacker",7823
"Fort Rox","Day","Crescent","-","15.01%","Hardworking Hauler",7823
"Fort Rox","Day","Crescent","-","10.11%","Meteorite Mover",7823
"Fort Rox","Day","Crescent","-","4.64%","Mining Materials Manager",7823
"Fort Rox","Day","Moon","-","32.97%","Meteorite Snacker",4834
"Fort Rox","Day","Moon","-","22.18%","Meteorite Miner",4834
"Fort Rox","Day","Moon","-","21.20%","Mischievous Meteorite Miner",4834
"Fort Rox","Day","Moon","-","8.50%","Hardworking Hauler",4834
"Fort Rox","Day","Moon","-","8.11%","Meteorite Mover",4834
"Fort Rox","Day","Moon","-","7.03%","Mining Materials Manager",4834
