"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fungal Cavern","-","SB+","-","14.56%","Funglore",32116
"Fungal Cavern","-","SB+","-","13.98%","Lumahead",32116
"Fungal Cavern","-","SB+","-","12.09%","Mush",32116
"Fungal Cavern","-","SB+","-","11.90%","Floating Spore",32116
"Fungal Cavern","-","SB+","-","11.83%","Quillback",32116
"Fungal Cavern","-","SB+","-","9.01%","Mushroom Sprite",32116
"Fungal Cavern","-","SB+","-","7.97%","Bitter Root",32116
"Fungal Cavern","-","SB+","-","7.96%","Nightshade Masquerade",32116
"Fungal Cavern","-","SB+","-","6.82%","Spiked Burrower",32116
"Fungal Cavern","-","SB+","-","1.89%","Sporeticus",32116
"Fungal Cavern","-","SB+","-","1.04%","Mouldy Mole",32116
"Fungal Cavern","-","SB+","-","0.95%","Spore Muncher",32116
"Fungal Cavern","-","Gouda","-","14.80%","Mush",119160
"Fungal Cavern","-","Gouda","-","14.78%","Funglore",119160
"Fungal Cavern","-","Gouda","-","13.86%","Floating Spore",119160
"Fungal Cavern","-","Gouda","-","13.77%","Lumahead",119160
"Fungal Cavern","-","Gouda","-","11.93%","Quillback",119160
"Fungal Cavern","-","Gouda","-","10.05%","Mushroom Sprite",119160
"Fungal Cavern","-","Gouda","-","8.06%","Bitter Root",119160
"Fungal Cavern","-","Gouda","-","6.86%","Spiked Burrower",119160
"Fungal Cavern","-","Gouda","-","2.00%","Sporeticus",119160
"Fungal Cavern","-","Gouda","-","1.95%","Mouldy Mole",119160
"Fungal Cavern","-","Gouda","-","1.93%","Spore Muncher",119160
"Fungal Cavern","-","Brie","-","14.20%","Mush",11928
"Fungal Cavern","-","Brie","-","12.63%","Quillback",11928
"Fungal Cavern","-","Brie","-","12.39%","Lumahead",11928
"Fungal Cavern","-","Brie","-","10.24%","Floating Spore",11928
"Fungal Cavern","-","Brie","-","10.07%","Funglore",11928
"Fungal Cavern","-","Brie","-","8.58%","Mushroom Sprite",11928
"Fungal Cavern","-","Brie","-","8.54%","Bitter Root",11928
"Fungal Cavern","-","Brie","-","7.13%","Spiked Burrower",11928
"Fungal Cavern","-","Brie","-","6.02%","Sporeticus",11928
"Fungal Cavern","-","Brie","-","5.36%","Mouldy Mole",11928
"Fungal Cavern","-","Brie","-","4.85%","Spore Muncher",11928
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","24.80%","Dirt Thing",6132
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","24.33%","Crystalline Slasher",6132
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","15.51%","Crag Elder",6132
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","10.88%","Stone Maiden",6132
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","10.01%","Splintered Stone Sentry",6132
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","9.77%","Shattered Obsidian",6132
"Fungal Cavern","Gemology Base","Glowing Gruyere","-","4.70%","Gemstone Worshipper",6132
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","19.93%","Crag Elder",87499
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","19.71%","Stone Maiden",87499
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","17.88%","Dirt Thing",87499
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","17.69%","Crystalline Slasher",87499
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","12.92%","Cavern Crumbler",87499
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","5.95%","Shattered Obsidian",87499
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","3.97%","Splintered Stone Sentry",87499
"Fungal Cavern","Not Gemology","Glowing Gruyere","-","1.94%","Gemstone Worshipper",87499
"Fungal Cavern","Gemology Base","Mineral","-","32.25%","Crystal Controller",4595
"Fungal Cavern","Gemology Base","Mineral","-","30.66%","Crystalback",4595
"Fungal Cavern","Gemology Base","Mineral","-","21.39%","Stalagmite",4595
"Fungal Cavern","Gemology Base","Mineral","-","9.38%","Crystal Cave Worm",4595
"Fungal Cavern","Gemology Base","Mineral","-","2.22%","Crystal Lurker",4595
"Fungal Cavern","Gemology Base","Mineral","-","2.07%","Crystal Observer",4595
"Fungal Cavern","Gemology Base","Mineral","-","2.02%","Crystal Queen",4595
"Fungal Cavern","Not Gemology","Mineral","-","27.80%","Gemorpher",48692
"Fungal Cavern","Not Gemology","Mineral","-","24.82%","Crystal Controller",48692
"Fungal Cavern","Not Gemology","Mineral","-","23.50%","Crystalback",48692
"Fungal Cavern","Not Gemology","Mineral","-","14.79%","Stalagmite",48692
"Fungal Cavern","Not Gemology","Mineral","-","6.14%","Crystal Cave Worm",48692
"Fungal Cavern","Not Gemology","Mineral","-","1.00%","Crystal Queen",48692
"Fungal Cavern","Not Gemology","Mineral","-","0.99%","Crystal Observer",48692
"Fungal Cavern","Not Gemology","Mineral","-","0.95%","Crystal Lurker",48692
"Fungal Cavern","Gemology Base","Gemstone","-","33.46%","Crystal Golem",4596
"Fungal Cavern","Gemology Base","Gemstone","-","28.26%","Crystal Queen",4596
"Fungal Cavern","Gemology Base","Gemstone","-","19.28%","Crystal Lurker",4596
"Fungal Cavern","Gemology Base","Gemstone","-","14.99%","Crystal Observer",4596
"Fungal Cavern","Gemology Base","Gemstone","-","2.07%","Diamondhide",4596
"Fungal Cavern","Gemology Base","Gemstone","-","1.94%","Huntereater",4596
"Fungal Cavern","Not Gemology","Gemstone","-","37.21%","Crystal Queen",40416
"Fungal Cavern","Not Gemology","Gemstone","-","29.47%","Crystal Lurker",40416
"Fungal Cavern","Not Gemology","Gemstone","-","24.66%","Crystal Observer",40416
"Fungal Cavern","Not Gemology","Gemstone","-","6.78%","Crystal Golem",40416
"Fungal Cavern","Not Gemology","Gemstone","-","0.96%","Diamondhide",40416
"Fungal Cavern","Not Gemology","Gemstone","-","0.93%","Huntereater",40416
"Fungal Cavern","Gemology Base","Diamond","-","66.96%","Crystal Behemoth",684
"Fungal Cavern","Gemology Base","Diamond","-","23.54%","Huntereater",684
"Fungal Cavern","Gemology Base","Diamond","-","9.50%","Diamondhide",684
"Fungal Cavern","Not Gemology","Diamond","-","67.46%","Crystal Behemoth",26720
"Fungal Cavern","Not Gemology","Diamond","-","24.57%","Huntereater",26720
"Fungal Cavern","Not Gemology","Diamond","-","7.97%","Diamondhide",26720
