"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Furoma Rift","Training Grounds","Maki String","-","56.00%","Glitchpaw",25
"Furoma Rift","Training Grounds","Maki String","-","16.00%","Student of the Chi Fang",25
"Furoma Rift","Training Grounds","Maki String","-","12.00%","Student of the Chi Belt",25
"Furoma Rift","Training Grounds","Maki String","-","8.00%","Dancing Assassin",25
"Furoma Rift","Training Grounds","Maki String","-","8.00%","Student of the Chi Claw",25
"Furoma Rift","Training Grounds","Magical String","-","64.00%","Glitchpaw",25
"Furoma Rift","Training Grounds","Magical String","-","12.00%","Student of the Chi Belt",25
"Furoma Rift","Training Grounds","Magical String","-","8.00%","Student of the Chi Fang",25
"Furoma Rift","Training Grounds","Magical String","-","8.00%","Dancing Assassin",25
"Furoma Rift","Training Grounds","Magical String","-","8.00%","Student of the Chi Claw",25
"Furoma Rift","Training Grounds","Brie String","-","68.11%","Glitchpaw",185
"Furoma Rift","Training Grounds","Brie String","-","10.27%","Student of the Chi Belt",185
"Furoma Rift","Training Grounds","Brie String","-","9.73%","Student of the Chi Fang",185
"Furoma Rift","Training Grounds","Brie String","-","8.11%","Student of the Chi Claw",185
"Furoma Rift","Training Grounds","Brie String","-","3.78%","Dancing Assassin",185
"Furoma Rift","Pagoda","Maki String","-","100.00%","Armored Archer",1
"Furoma Rift","Pagoda","Brie String","-","64.29%","Dumpling Delivery",14
"Furoma Rift","Pagoda","Brie String","-","21.43%","Armored Archer",14
"Furoma Rift","Pagoda","Brie String","-","7.14%","Enlightened Labourer",14
"Furoma Rift","Pagoda","Brie String","-","7.14%","Rift Guardian",14
