"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Gnawnian Express Station","Station","SB+","-","12.49%","Train Conductor",3362
"Gnawnian Express Station","Station","SB+","-","12.28%","Travelling Barber",3362
"Gnawnian Express Station","Station","SB+","-","11.93%","Mysterious Traveller",3362
"Gnawnian Express Station","Station","SB+","-","11.93%","Passenger",3362
"Gnawnian Express Station","Station","SB+","-","11.90%","Photographer",3362
"Gnawnian Express Station","Station","SB+","-","11.36%","Angry Train Staff",3362
"Gnawnian Express Station","Station","SB+","-","6.01%","Stowaway",3362
"Gnawnian Express Station","Station","SB+","-","4.70%","Upper Class Lady",3362
"Gnawnian Express Station","Station","SB+","-","3.93%","Stuffy Banker",3362
"Gnawnian Express Station","Station","SB+","-","3.54%","Tonic Salesman",3362
"Gnawnian Express Station","Station","SB+","-","3.51%","Farrier",3362
"Gnawnian Express Station","Station","SB+","-","3.30%","Parlour Player",3362
"Gnawnian Express Station","Station","SB+","-","3.12%","Bartender",3362
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","12.67%","Passenger",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","12.60%","Train Conductor",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","12.56%","Angry Train Staff",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","12.54%","Travelling Barber",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","12.42%","Mysterious Traveller",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","12.33%","Photographer",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","5.00%","Upper Class Lady",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","3.80%","Farrier",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","3.73%","Bartender",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","3.73%","Tonic Salesman",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","3.72%","Parlour Player",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","3.68%","Stuffy Banker",10869
"Gnawnian Express Station","Station","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","1.24%","Stowaway",10869
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","17.35%","Cute Crate Carrier",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","11.54%","Crate Camo",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","9.06%","Mysterious Traveller",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","8.63%","Train Conductor",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","8.55%","Photographer",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","8.55%","Passenger",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","8.29%","Angry Train Staff",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","6.67%","Travelling Barber",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","4.96%","Stowaway",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","3.42%","Upper Class Lady",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","2.82%","Stuffy Banker",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","2.74%","Parlour Player",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","2.65%","Tonic Salesman",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","2.56%","Farrier",1170
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","-","2.22%","Bartender",1170
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","17.20%","Cute Crate Carrier",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","13.45%","Crate Camo",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","9.87%","Angry Train Staff",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","8.90%","Passenger",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","8.84%","Train Conductor",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","8.63%","Travelling Barber",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","8.39%","Photographer",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","8.12%","Mysterious Traveller",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","3.45%","Upper Class Lady",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","2.78%","Stuffy Banker",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","2.64%","Farrier",3709
