"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","No Bounty","SB+","-","22.33%","Pirate",16913
"Harbour","No Bounty","SB+","-","8.82%","Burglar",16913
"Harbour","No Bounty","SB+","-","7.91%","Spotted",16913
"Harbour","No Bounty","SB+","-","6.45%","White",16913
"Harbour","No Bounty","SB+","-","6.23%","Brown",16913
"Harbour","No Bounty","SB+","-","5.77%","Grey",16913
"Harbour","No Bounty","SB+","-","4.41%","Magic",16913
"Harbour","No Bounty","SB+","-","4.36%","Bionic",16913
"Harbour","No Bounty","SB+","-","4.36%","Granite",16913
"Harbour","No Bounty","SB+","-","4.33%","Steel",16913
"Harbour","No Bounty","SB+","-","4.23%","Scruffy",16913
"Harbour","No Bounty","SB+","-","4.07%","Fog",16913
"Harbour","No Bounty","SB+","-","4.04%","Pugilist",16913
"Harbour","No Bounty","SB+","-","3.71%","Dwarf",16913
"Harbour","No Bounty","SB+","-","3.38%","Silvertail",16913
"Harbour","No Bounty","SB+","-","2.43%","Diamond",16913
"Harbour","No Bounty","SB+","-","2.42%","Gold",16913
"Harbour","No Bounty","SB+","-","0.74%","Black Widow",16913
"Harbour","No Bounty","Gouda","-","22.36%","Pirate",8310
"Harbour","No Bounty","Gouda","-","8.56%","Dwarf",8310
"Harbour","No Bounty","Gouda","-","8.52%","Scruffy",8310
"Harbour","No Bounty","Gouda","-","7.65%","Spotted",8310
"Harbour","No Bounty","Gouda","-","7.26%","Pugilist",8310
"Harbour","No Bounty","Gouda","-","7.08%","Granite",8310
"Harbour","No Bounty","Gouda","-","6.31%","White",8310
"Harbour","No Bounty","Gouda","-","6.26%","Steel",8310
"Harbour","No Bounty","Gouda","-","6.05%","Grey",8310
"Harbour","No Bounty","Gouda","-","6.04%","Bionic",8310
"Harbour","No Bounty","Gouda","-","5.69%","Brown",8310
"Harbour","No Bounty","Gouda","-","4.52%","Diamond",8310
"Harbour","No Bounty","Gouda","-","3.71%","Gold",8310
"Harbour","No Bounty","Brie","-","23.51%","Pirate",8515
"Harbour","No Bounty","Brie","-","9.01%","Scruffy",8515
"Harbour","No Bounty","Brie","-","8.46%","Dwarf",8515
"Harbour","No Bounty","Brie","-","8.00%","Burglar",8515
"Harbour","No Bounty","Brie","-","7.49%","Spotted",8515
"Harbour","No Bounty","Brie","-","6.64%","White",8515
"Harbour","No Bounty","Brie","-","5.83%","Grey",8515
"Harbour","No Bounty","Brie","-","5.48%","Brown",8515
"Harbour","No Bounty","Brie","-","4.43%","Diamond",8515
"Harbour","No Bounty","Brie","-","4.40%","Bionic",8515
"Harbour","No Bounty","Brie","-","4.25%","Pugilist",8515
"Harbour","No Bounty","Brie","-","4.24%","Granite",8515
"Harbour","No Bounty","Brie","-","4.20%","Gold",8515
"Harbour","No Bounty","Brie","-","4.06%","Steel",8515
