"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","19.79%","Snow Slinger",21733
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","19.72%","Polar Bear",21733
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","15.62%","Incompetent Ice Climber",21733
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","14.76%","Snow Soldier",21733
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","14.55%","Chipper",21733
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","14.49%","Icebreaker",21733
"Iceberg","Treacherous Tunnels","SB+/Gouda/Brie","-","1.07%","Living Salt",21733
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","29.47%","Icebreaker",69288
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","29.20%","Chipper",69288
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","10.66%","Incompetent Ice Climber",69288
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","9.98%","Snow Soldier",69288
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","9.90%","Polar Bear",69288
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","9.75%","Snow Slinger",69288
"Iceberg","Treacherous Tunnels (Magnet)","SB+/Gouda/Brie","-","1.05%","Living Salt",69288
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","29.47%","Icebreaker",69288
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","29.20%","Chipper",69288
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","10.66%","Incompetent Ice Climber",69288
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","9.98%","Snow Soldier",69288
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","9.90%","Polar Bear",69288
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","9.75%","Snow Slinger",69288
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+/Gouda/Brie","-","1.05%","Living Salt",69288
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","30.35%","Polar Bear",137448
"Iceberg","Brutal Bulwark","SB+/Gouda/Brie","-","29.31%","Snow Slinger",137448
