"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Laboratory","-","SB+","-","27.02%","Sludge Scientist",12907
"Laboratory","-","SB+","-","24.47%","Clumsy Chemist",12907
"Laboratory","-","SB+","-","22.74%","Squeaker Bot",12907
"Laboratory","-","SB+","-","15.98%","Bionic",12907
"Laboratory","-","SB+","-","8.34%","Burglar",12907
"Laboratory","-","SB+","-","0.93%","Glitchpaw",12907
"Laboratory","-","SB+","-","0.52%","Black Widow",12907
"Laboratory","-","Brie","-","30.93%","Squeaker Bot",18192
"Laboratory","-","Brie","-","28.32%","Bionic",18192
"Laboratory","-","Brie","-","26.36%","Sludge Scientist",18192
"Laboratory","-","Brie","-","9.44%","Clumsy Chemist",18192
"Laboratory","-","Brie","-","4.84%","Burglar",18192
"Laboratory","-","Brie","-","0.09%","Glitchpaw",18192
"Laboratory","-","Brie","-","0.01%","Lucky",18192
"Laboratory","-","Gouda","-","33.36%","Sludge Scientist",13581
"Laboratory","-","Gouda","-","30.52%","Squeaker Bot",13581
"Laboratory","-","Gouda","-","24.73%","Bionic",13581
"Laboratory","-","Gouda","-","11.28%","Clumsy Chemist",13581
"Laboratory","-","Gouda","-","0.09%","Glitchpaw",13581
"Laboratory","-","Gouda","-","0.01%","Lucky",13581
"Laboratory","-","Swiss","-","32.26%","Sludge Scientist",2585
"Laboratory","-","Swiss","-","31.10%","Squeaker Bot",2585
"Laboratory","-","Swiss","-","26.03%","Bionic",2585
"Laboratory","-","Swiss","-","10.52%","Clumsy Chemist",2585
"Laboratory","-","Swiss","-","0.08%","Glitchpaw",2585
"Laboratory","-","Marble","-","30.84%","Sludge Scientist",428
"Laboratory","-","Marble","-","29.91%","Bionic",428
"Laboratory","-","Marble","-","28.74%","Squeaker Bot",428
"Laboratory","-","Marble","-","10.51%","Clumsy Chemist",428
"Laboratory","-","Cheddar","-","32.49%","Squeaker Bot",474
"Laboratory","-","Cheddar","-","32.07%","Sludge Scientist",474
"Laboratory","-","Cheddar","-","23.21%","Bionic",474
"Laboratory","-","Cheddar","-","12.03%","Clumsy Chemist",474
"Laboratory","-","Cheddar","-","0.21%","Glitchpaw",474
"Laboratory","-","Radioactive Blue","-","28.27%","Mutated White",26520
"Laboratory","-","Radioactive Blue","-","27.88%","Mutated Grey",26520
"Laboratory","-","Radioactive Blue","-","25.56%","Monster",26520
"Laboratory","-","Radioactive Blue","-","18.13%","Mutated Brown",26520
"Laboratory","-","Radioactive Blue","-","0.17%","Black Widow",26520
"Laboratory","-","Rancid Radioactive Blue","-","31.03%","Mutated White",24798
"Laboratory","-","Rancid Radioactive Blue","-","24.94%","Monster",24798
"Laboratory","-","Rancid Radioactive Blue","-","24.39%","Mutated Grey",24798
"Laboratory","-","Rancid Radioactive Blue","-","18.72%","Mutated Brown",24798
"Laboratory","-","Rancid Radioactive Blue","-","0.93%","Black Widow",24798
"Laboratory","-","Magical Rancid Radioactive Blue","-","47.33%","Monster",20868
"Laboratory","-","Magical Rancid Radioactive Blue","-","19.95%","Mutated Grey",20868
"Laboratory","-","Magical Rancid Radioactive Blue","-","16.36%","Mutated White",20868
"Laboratory","-","Magical Rancid Radioactive Blue","-","14.49%","Mutated Brown",20868
"Laboratory","-","Magical Rancid Radioactive Blue","-","1.86%","Black Widow",20868
"Laboratory","-","Limelight","-","100.00%","Mutated Mole",4671
