"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Labyrinth","Plain Fealty","Glowing Gruyere","-","26.72%","Drudge",197009
"Labyrinth","Plain Fealty","Glowing Gruyere","-","22.77%","Masked Pikeman",197009
"Labyrinth","Plain Fealty","Glowing Gruyere","-","17.85%","Corridor Bruiser",197009
"Labyrinth","Plain Fealty","Glowing Gruyere","-","15.86%","Lost Legionnaire",197009
"Labyrinth","Plain Fealty","Glowing Gruyere","-","14.86%","Lost",197009
"Labyrinth","Plain Fealty","Glowing Gruyere","-","1.94%","Reanimated Carver",197009
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","21.55%","Drudge",65798
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","19.63%","Shadow Stalker",65798
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","18.35%","Masked Pikeman",65798
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","14.35%","Corridor Bruiser",65798
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","12.73%","Lost Legionnaire",65798
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","11.78%","Lost",65798
"Labyrinth","Plain Fealty","SB+/Gouda/Brie","-","1.61%","Reanimated Carver",65798
"Labyrinth","Plain Tech","Glowing Gruyere","-","26.88%","RR-8",193122
"Labyrinth","Plain Tech","Glowing Gruyere","-","22.74%","Ash Golem",193122
"Labyrinth","Plain Tech","Glowing Gruyere","-","17.83%","Corridor Bruiser",193122
"Labyrinth","Plain Tech","Glowing Gruyere","-","15.72%","Lost Legionnaire",193122
"Labyrinth","Plain Tech","Glowing Gruyere","-","14.85%","Lost",193122
"Labyrinth","Plain Tech","Glowing Gruyere","-","1.98%","Reanimated Carver",193122
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","21.57%","RR-8",63677
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","19.58%","Shadow Stalker",63677
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","17.96%","Ash Golem",63677
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","14.34%","Corridor Bruiser",63677
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","12.83%","Lost Legionnaire",63677
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","12.07%","Lost",63677
"Labyrinth","Plain Tech","SB+/Gouda/Brie","-","1.64%","Reanimated Carver",63677
"Labyrinth","Plain Scholar","Glowing Gruyere","-","26.82%","Summoning Scholar",191369
"Labyrinth","Plain Scholar","Glowing Gruyere","-","22.70%","Sanguinarian",191369
"Labyrinth","Plain Scholar","Glowing Gruyere","-","17.91%","Corridor Bruiser",191369
"Labyrinth","Plain Scholar","Glowing Gruyere","-","15.91%","Lost Legionnaire",191369
"Labyrinth","Plain Scholar","Glowing Gruyere","-","14.68%","Lost",191369
"Labyrinth","Plain Scholar","Glowing Gruyere","-","1.97%","Reanimated Carver",191369
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","21.38%","Summoning Scholar",61704
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","19.42%","Shadow Stalker",61704
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","18.51%","Sanguinarian",61704
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","13.97%","Corridor Bruiser",61704
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","12.88%","Lost Legionnaire",61704
"Labyrinth","Plain Scholar","SB+/Gouda/Brie","-","12.23%","Lost",61704
