"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Mountain","-","Cheddar","-","19.48%","Frozen",1679
"Mountain","-","Cheddar","-","19.00%","Brown",1679
"Mountain","-","Cheddar","-","18.40%","White",1679
"Mountain","-","Cheddar","-","17.69%","Granite",1679
"Mountain","-","Cheddar","-","17.45%","Grey",1679
"Mountain","-","Cheddar","-","7.98%","Dwarf",1679
"Mountain","-","White Cheddar","-","46.08%","Frozen",2841
"Mountain","-","White Cheddar","-","36.54%","Granite",2841
"Mountain","-","White Cheddar","-","17.39%","Dwarf",2841
"Mountain","-","Marble","-","17.24%","Granite",174
"Mountain","-","Marble","-","17.24%","Frozen",174
"Mountain","-","Marble","-","14.37%","Dwarf",174
"Mountain","-","Marble","-","11.49%","White",174
"Mountain","-","Marble","-","10.92%","Bionic",174
"Mountain","-","Marble","-","9.20%","Brown",174
"Mountain","-","Marble","-","7.47%","Gold",174
"Mountain","-","Marble","-","6.90%","Diamond",174
"Mountain","-","Marble","-","5.17%","Grey",174
"Mountain","-","Swiss","-","25.23%","Dwarf",543
"Mountain","-","Swiss","-","17.31%","Steel",543
"Mountain","-","Swiss","-","12.34%","Bionic",543
"Mountain","-","Swiss","-","9.21%","Frozen",543
"Mountain","-","Swiss","-","7.73%","Ninja",543
"Mountain","-","Swiss","-","6.08%","Diamond",543
"Mountain","-","Swiss","-","5.89%","Gold",543
"Mountain","-","Swiss","-","5.34%","Zombie",543
"Mountain","-","Swiss","-","4.79%","White",543
"Mountain","-","Swiss","-","3.68%","Brown",543
"Mountain","-","Swiss","-","2.39%","Grey",543
"Mountain","-","Brie","-","18.30%","Flying",4525
"Mountain","-","Brie","-","15.51%","Steel",4525
"Mountain","-","Brie","-","15.14%","Diamond",4525
"Mountain","-","Brie","-","15.09%","Bionic",4525
"Mountain","-","Brie","-","12.55%","Ninja",4525
"Mountain","-","Brie","-","11.25%","Gold",4525
"Mountain","-","Brie","-","7.80%","Frozen",4525
"Mountain","-","Brie","-","4.35%","Zombie",4525
"Mountain","-","Brie","Prospector's","20.85%","Diamond",398
"Mountain","-","Brie","Prospector's","16.33%","Flying",398
"Mountain","-","Brie","Prospector's","15.33%","Steel",398
"Mountain","-","Brie","Prospector's","15.08%","Gold",398
"Mountain","-","Brie","Prospector's","12.06%","Bionic",398
"Mountain","-","Brie","Prospector's","11.31%","Ninja",398
"Mountain","-","Brie","Prospector's","6.28%","Frozen",398
"Mountain","-","Brie","Prospector's","2.76%","Zombie",398
"Mountain","-","Gouda","-","18.73%","Flying",3038
"Mountain","-","Gouda","-","16.26%","Diamond",3038
"Mountain","-","Gouda","-","15.90%","Gold",3038
"Mountain","-","Gouda","-","15.11%","Steel",3038
"Mountain","-","Gouda","-","14.88%","Bionic",3038
"Mountain","-","Gouda","-","12.94%","Ninja",3038
"Mountain","-","Gouda","-","6.19%","Zombie",3038
"Mountain","-","Gouda","Prospector's","18.77%","Flying",975
"Mountain","-","Gouda","Prospector's","17.13%","Diamond",975
"Mountain","-","Gouda","Prospector's","15.18%","Bionic",975
"Mountain","-","Gouda","Prospector's","14.77%","Gold",975
"Mountain","-","Gouda","Prospector's","14.67%","Steel",975
"Mountain","-","Gouda","Prospector's","13.03%","Ninja",975
"Mountain","-","Gouda","Prospector's","6.46%","Zombie",975
"Mountain","-","SB+","-","19.61%","Flying",12685
"Mountain","-","SB+","-","15.03%","Pebble",12685
"Mountain","-","SB+","-","13.55%","Silvertail",12685
"Mountain","-","SB+","-","12.95%","Fog",12685
"Mountain","-","SB+","-","11.30%","Frosty Snow",12685
"Mountain","-","SB+","-","10.74%","Gold",12685
"Mountain","-","SB+","-","6.86%","Diamond",12685
"Mountain","-","SB+","-","6.13%","Ninja",12685
"Mountain","-","SB+","-","2.81%","Zombie",12685
"Mountain","-","SB+","-","1.00%","Black Widow",12685
"Mountain","-","SB+","Prospector's","18.04%","Silvertail",1020
"Mountain","-","SB+","Prospector's","16.08%","Flying",1020
"Mountain","-","SB+","Prospector's","15.88%","Gold",1020
"Mountain","-","SB+","Prospector's","14.51%","Diamond",1020
"Mountain","-","SB+","Prospector's","10.78%","Pebble",1020
"Mountain","-","SB+","Prospector's","9.61%","Fog",1020
"Mountain","-","SB+","Prospector's","8.33%","Frosty Snow",1020
"Mountain","-","SB+","Prospector's","3.73%","Ninja",1020
"Mountain","-","SB+","Prospector's","2.25%","Zombie",1020
"Mountain","-","SB+","Prospector's","0.78%","Black Widow",1020
"Mountain","-","Chedd-Ore","-","35.62%","Craggy Ore",21504
"Mountain","-","Chedd-Ore","-","34.61%","Slope Swimmer",21504
"Mountain","-","Chedd-Ore","-","29.77%","Mountain",21504
"Mountain","-","Abominable Asiago","-","100.00%","Abominable Snow",3131
