"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Mousoleum","No Wall","Radioactive Blue","-","40.61%","Gluttonous Zombie",56395
"Mousoleum","No Wall","Radioactive Blue","-","29.47%","Zombie",56395
"Mousoleum","No Wall","Radioactive Blue","-","24.52%","Ravenous Zombie",56395
"Mousoleum","No Wall","Radioactive Blue","-","5.34%","Coffin Zombie",56395
"Mousoleum","No Wall","Radioactive Blue","-","0.06%","Glitchpaw",56395
"Mousoleum","No Wall","Rancid Radioactive Blue","-","32.05%","Gluttonous Zombie",1067
"Mousoleum","No Wall","Rancid Radioactive Blue","-","29.24%","Zombie",1067
"Mousoleum","No Wall","Rancid Radioactive Blue","-","23.43%","Ravenous Zombie",1067
"Mousoleum","No Wall","Rancid Radioactive Blue","-","15.28%","Coffin Zombie",1067
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","28.35%","Gluttonous Zombie",127
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","26.77%","Zombie",127
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","25.98%","Coffin Zombie",127
"Mousoleum","No Wall","Magical Rancid Radioactive Blue","-","18.90%","Ravenous Zombie",127
"Mousoleum","No Wall","Undead Emmental","-","27.32%","Coffin Zombie",3163
"Mousoleum","No Wall","Undead Emmental","-","21.18%","Gluttonous Zombie",3163
"Mousoleum","No Wall","Undead Emmental","-","19.79%","Zombie",3163
"Mousoleum","No Wall","Undead Emmental","-","14.01%","Ravenous Zombie",3163
"Mousoleum","No Wall","Undead Emmental","-","10.12%","Grave Robber",3163
"Mousoleum","No Wall","Undead Emmental","-","7.59%","Zombot Unipire",3163
"Mousoleum","No Wall","Crimson","-","98.39%","Coffin Zombie",4791
"Mousoleum","No Wall","Crimson","-","1.61%","Gluttonous Zombie",4791
"Mousoleum","Has Wall","Crimson","-","54.39%","Mousevina von Vermin",12091
"Mousoleum","Has Wall","Crimson","-","14.99%","Vampire",12091
"Mousoleum","Has Wall","Crimson","-","10.93%","Ghost",12091
"Mousoleum","Has Wall","Crimson","-","9.95%","Mummy",12091
"Mousoleum","Has Wall","Crimson","-","9.67%","Bat",12091
"Mousoleum","Has Wall","Crimson","-","0.07%","Coffin Zombie",12091
"Mousoleum","Has Wall","Moon","-","53.26%","Lycan",2565
"Mousoleum","Has Wall","Moon","-","13.57%","Ghost",2565
"Mousoleum","Has Wall","Moon","-","12.12%","Vampire",2565
"Mousoleum","Has Wall","Moon","-","10.68%","Bat",2565
"Mousoleum","Has Wall","Moon","-","10.37%","Mummy",2565
"Mousoleum","Has Wall","Crescent","-","56.44%","Lycan",567
"Mousoleum","Has Wall","Crescent","-","14.81%","Ghost",567
"Mousoleum","Has Wall","Crescent","-","11.11%","Vampire",567
"Mousoleum","Has Wall","Crescent","-","9.52%","Mummy",567
"Mousoleum","Has Wall","Crescent","-","8.11%","Bat",567
"Mousoleum","Has Wall","Radioactive Blue","-","35.47%","Bat",36821
"Mousoleum","Has Wall","Radioactive Blue","-","20.02%","Vampire",36821
"Mousoleum","Has Wall","Radioactive Blue","-","19.76%","Mummy",36821
"Mousoleum","Has Wall","Radioactive Blue","-","15.72%","Ghost",36821
"Mousoleum","Has Wall","Radioactive Blue","-","5.86%","Giant Snail",36821
"Mousoleum","Has Wall","Radioactive Blue","-","2.04%","Monster",36821
"Mousoleum","Has Wall","Radioactive Blue","-","0.96%","Black Widow",36821
"Mousoleum","Has Wall","Radioactive Blue","-","0.10%","Gluttonous Zombie",36821
"Mousoleum","Has Wall","Radioactive Blue","-","0.06%","Ravenous Zombie",36821
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","39.36%","Bat",2518
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","27.08%","Vampire",2518
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","14.73%","Mummy",2518
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","9.69%","Ghost",2518
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","5.76%","Giant Snail",2518
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","2.42%","Monster",2518
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","0.91%","Black Widow",2518
"Mousoleum","Has Wall","Rancid Radioactive Blue","-","0.04%","Ravenous Zombie",2518
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","39.81%","Bat",1173
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","35.72%","Vampire",1173
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","9.97%","Mummy",1173
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","6.31%","Giant Snail",1173
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","4.69%","Ghost",1173
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","2.30%","Monster",1173
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","1.11%","Black Widow",1173
"Mousoleum","Has Wall","Magical Rancid Radioactive Blue","-","0.09%","Coffin Zombie",1173
"Mousoleum","Has Wall","Undead Emmental","-","28.91%","Ghost",5666
"Mousoleum","Has Wall","Undead Emmental","-","28.80%","Mummy",5666
"Mousoleum","Has Wall","Undead Emmental","-","17.76%","Vampire",5666
"Mousoleum","Has Wall","Undead Emmental","-","14.26%","Grave Robber",5666
"Mousoleum","Has Wall","Undead Emmental","-","10.24%","Zombot Unipire",5666
"Mousoleum","Has Wall","Undead Emmental","-","0.02%","Zombie",5666
"Mousoleum","Has Wall","Undead Emmental","-","0.02%","Coffin Zombie",5666
