"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Moussu Picchu","-","Glowing Gruyere","-","29.44%","Rainwater Purifier",75903
"Moussu Picchu","-","Glowing Gruyere","-","28.08%","Breeze Borrower",75903
"Moussu Picchu","-","Glowing Gruyere","-","16.47%","Cloud Collector",75903
"Moussu Picchu","-","Glowing Gruyere","-","16.37%","Windy Farmer",75903
"Moussu Picchu","-","Glowing Gruyere","-","9.63%","Homeopathic Apothecary",75903
"Moussu Picchu","-","SB+","-","24.61%","Windy Farmer",17234
"Moussu Picchu","-","SB+","-","24.34%","Cloud Collector",17234
"Moussu Picchu","-","SB+","-","17.10%","Breeze Borrower",17234
"Moussu Picchu","-","SB+","-","16.94%","Rainwater Purifier",17234
"Moussu Picchu","-","SB+","-","7.79%","Nightshade Maiden",17234
"Moussu Picchu","-","SB+","-","6.53%","Nightshade Flower Girl",17234
"Moussu Picchu","-","SB+","-","2.69%","Spore Salesman",17234
"Moussu Picchu","-","Gouda","-","22.06%","Cloud Collector",125464
"Moussu Picchu","-","Gouda","-","22.05%","Windy Farmer",125464
"Moussu Picchu","-","Gouda","-","15.82%","Spore Salesman",125464
"Moussu Picchu","-","Gouda","-","14.73%","Nightshade Flower Girl",125464
"Moussu Picchu","-","Gouda","-","12.71%","Breeze Borrower",125464
"Moussu Picchu","-","Gouda","-","12.63%","Rainwater Purifier",125464
"Moussu Picchu","-","Brie","-","22.62%","Cloud Collector",3183
"Moussu Picchu","-","Brie","-","21.36%","Windy Farmer",3183
"Moussu Picchu","-","Brie","-","15.33%","Spore Salesman",3183
"Moussu Picchu","-","Brie","-","14.26%","Rainwater Purifier",3183
"Moussu Picchu","-","Brie","-","14.01%","Nightshade Flower Girl",3183
"Moussu Picchu","-","Brie","-","12.41%","Breeze Borrower",3183
"Moussu Picchu","Rain low","Rainy","-","59.44%","Rain Wallower",14337
"Moussu Picchu","Rain low","Rainy","-","40.56%","Rain Collector",14337
"Moussu Picchu","Rain medium","Rainy","-","58.14%","Rain Summoner",32265
"Moussu Picchu","Rain medium","Rainy","-","41.86%","Monsoon Maker",32265
"Moussu Picchu","Rain high","Rainy","-","59.06%","Monsoon Maker",84572
"Moussu Picchu","Rain high","Rainy","-","40.94%","Rainmancer",84572
"Moussu Picchu","Rain max","Rainy","-","100.00%","Rainmancer",64464
"Moussu Picchu","Wind low","Windy","-","60.21%","Wind Watcher",14784
"Moussu Picchu","Wind low","Windy","-","39.79%","Charming Chimer",14784
"Moussu Picchu","Wind medium","Windy","-","57.53%","Fluttering Flutist",33386
"Moussu Picchu","Wind medium","Windy","-","42.47%","Cycloness",33386
"Moussu Picchu","Wind high","Windy","-","59.12%","Cycloness",92510
"Moussu Picchu","Wind high","Windy","-","40.88%","Wind Warrior",92510
"Moussu Picchu","Wind max","Windy","-","100.00%","Wind Warrior",63175
"Moussu Picchu","Storm low","Dragonvine","-","61.15%","Thunder Strike",3174
"Moussu Picchu","Storm low","Dragonvine","-","38.85%","Violet Stormchild",3174
"Moussu Picchu","Storm medium","Dragonvine","-","57.60%","Thunderlord",22262
"Moussu Picchu","Storm medium","Dragonvine","-","42.40%","Thundering Watcher",22262
"Moussu Picchu","Storm high","Dragonvine","-","59.79%","Thundering Watcher",62013
"Moussu Picchu","Storm high","Dragonvine","-","35.36%","Ful'Mina the Mountain Queen",62013
"Moussu Picchu","Storm high","Dragonvine","-","4.85%","Dragoon",62013
"Moussu Picchu","Storm max","Dragonvine","-","100.00%","Ful'Mina the Mountain Queen",448213
