"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso River","-","Gouda","-","34.68%","Pump Raider",673408
"Queso River","-","Gouda","-","30.69%","Tiny Saboteur",673408
"Queso River","-","Gouda","-","29.73%","Queso Extractor",673408
"Queso River","-","Gouda","-","4.90%","Croquet Crusher",673408
"Queso River","-","Brie","-","34.88%","Pump Raider",50871
"Queso River","-","Brie","-","30.61%","Tiny Saboteur",50871
"Queso River","-","Brie","-","29.65%","Queso Extractor",50871
"Queso River","-","Brie","-","4.86%","Croquet Crusher",50871
"Queso River","-","SB+","-","30.94%","Tiny Saboteur",166882
"Queso River","-","SB+","-","28.69%","Pump Raider",166882
"Queso River","-","SB+","-","24.75%","Sleepy Merchant",166882
"Queso River","-","SB+","-","9.75%","Queso Extractor",166882
"Queso River","-","SB+","-","5.86%","Croquet Crusher",166882
"Queso River","-","Wildfire Queso","-","100.00%","Queen Quesada",57235
