"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"School of Sorcery","Hallway","SB+/Gouda/Brie","-","100%","Hall Monitor",1
"School of Sorcery","Arcane Arts","SB+/Gouda/Brie","-","42.70%","Broomstick Bungler",79747
"School of Sorcery","Arcane Arts","SB+/Gouda/Brie","-","41.26%","Perpetual Detention",79747
"School of Sorcery","Arcane Arts","SB+/Gouda/Brie","-","16.04%","Misfortune Teller",79747
"School of Sorcery","Arcane Arts","Apprentice Ambert","-","44.51%","Invisible Fashionista",136114
"School of Sorcery","Arcane Arts","Apprentice Ambert","-","40.46%","Arcana Overachiever",136114
"School of Sorcery","Arcane Arts","Apprentice Ambert","-","15.03%","Enchanted Chess Club Champion",136114
"School of Sorcery","Arcane Arts","Master Mimolette","-","44.91%","Featherlight",35405
"School of Sorcery","Arcane Arts","Master Mimolette","-","40.02%","Illustrious Illusionist",35405
"School of Sorcery","Arcane Arts","Master Mimolette","-","15.07%","Constructively Critical Artist",35405
"School of Sorcery","Shadow Sciences","SB+/Gouda/Brie","-","42.70%","Uncoordinated Cauldron Carrier",79747
"School of Sorcery","Shadow Sciences","SB+/Gouda/Brie","-","41.26%","Mixing Mishap",79747
"School of Sorcery","Shadow Sciences","SB+/Gouda/Brie","-","16.04%","Bookworm",79747
"School of Sorcery","Shadow Sciences","Apprentice Ambert","-","44.51%","Audacious Alchemist",136114
"School of Sorcery","Shadow Sciences","Apprentice Ambert","-","40.46%","Classroom Keener",136114
"School of Sorcery","Shadow Sciences","Apprentice Ambert","-","15.03%","Prestigious Prestidigitator",136114
"School of Sorcery","Shadow Sciences","Master Mimolette","-","44.91%","Teleporting Truant",35405
"School of Sorcery","Shadow Sciences","Master Mimolette","-","40.02%","Classroom Disrupter",35405
"School of Sorcery","Shadow Sciences","Master Mimolette","-","15.07%","Magical Multitasker",35405
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","35.26%","Broomstick Bungler",8945
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","27.79%","Perpetual Detention",8945
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","27.80%","Misfortune Teller",8945
"School of Sorcery","Final Exam - Arcane","SB+/Gouda/Brie","-","9.14%","Sleep Starved Scholar",8945
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","34.80%","Invisible Fashionista",31852
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","31.08%","Arcana Overachiever",31852
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","24.61%","Enchanted Chess Club Champion",31852
"School of Sorcery","Final Exam - Arcane","Apprentice Ambert","-","9.51%","Class Clown",31852
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","34.41%","Featherlight",92295
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","30.41%","Illustrious Illusionist",92295
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","24.97%","Constructively Critical Artist",92295
"School of Sorcery","Final Exam - Arcane","Master Mimolette","-","10.20%","Tyrannical Thaumaturge",92295
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","35.26%","Uncoordinated Cauldron Carrier",8945
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","27.80%","Bookworm",8945
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","27.79%","Mixing Mishap",8945
"School of Sorcery","Final Exam - Shadow","SB+/Gouda/Brie","-","9.14%","Cheat Sheet Conjurer",8945
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","34.80%","Audacious Alchemist",31852
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","31.08%","Classroom Keener",31852
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","24.61%","Prestigious Prestidigitator",31852
"School of Sorcery","Final Exam - Shadow","Apprentice Ambert","-","9.51%","Celestial Summoner",31852
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","34.41%","Teleporting Truant",92295
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","30.41%","Classroom Disrupter",92295
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","24.97%","Magical Multitasker",92295
"School of Sorcery","Final Exam - Shadow","Master Mimolette","-","10.20%","Data Devourer",92295
"School of Sorcery","Arcane Arts - Boss","SB+/Gouda/Brie/Apprentice Ambert/Master Mimolette","-","100%","Arcane Master Sorcerer",1
"School of Sorcery","Shadow Sciences - Boss","SB+/Gouda/Brie/Apprentice Ambert/Master Mimolette","-","100%","Shadow Master Sorcerer",1
"School of Sorcery","Final Exam - Boss","SB+/Gouda/Brie/Apprentice Ambert/Master Mimolette","-","100%","Mythical Master Sorcerer",1
