"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Table of Contents","Not Writing","Gouda","-","39.42%","Brothers Grimmaus",47711
"Table of Contents","Not Writing","Gouda","-","35.65%","Hans Cheesetian Squeakersen",47711
"Table of Contents","Not Writing","Gouda","-","24.92%","Madame d'Ormouse",47711
"Table of Contents","Not Writing","SB+","-","33.41%","Matriarch Gander",17750
"Table of Contents","Not Writing","SB+","-","28.14%","Brothers Grimmaus",17750
"Table of Contents","Not Writing","SB+","-","19.89%","Hans Cheesetian Squeakersen",17750
"Table of Contents","Not Writing","SB+","-","18.57%","Madame d'Ormouse",17750
"Table of Contents","Pre-Encyclopedia","First Draft Derby","-","39.30%","Pinkielina",27321
"Table of Contents","Pre-Encyclopedia","First Draft Derby","-","35.82%","Princess and the Olive",27321
"Table of Contents","Pre-Encyclopedia","First Draft Derby","-","24.88%","Fibbocchio",27321
"Table of Contents","Pre-Encyclopedia","Second Draft Derby","-","39.54%","Flamboyant Flautist",270694
"Table of Contents","Pre-Encyclopedia","Second Draft Derby","-","35.49%","Greenbeard",270694
"Table of Contents","Pre-Encyclopedia","Second Draft Derby","-","24.97%","Ice Regent",270694
"Table of Contents","Pre-Encyclopedia","Final Draft Derby","-","100.00%","Bitter Grammarian",131523
"Table of Contents","Pre-Encyclopedia","SB+","-","33.52%","Humphrey Dumphrey",5528
"Table of Contents","Pre-Encyclopedia","SB+","-","23.66%","Little Miss Fluffet",5528
"Table of Contents","Pre-Encyclopedia","SB+","-","22.41%","Little Bo Squeak",5528
"Table of Contents","Pre-Encyclopedia","SB+","-","20.41%","Matriarch Gander",5528
"Table of Contents","Encyclopedia","Final Draft Derby","-","59.90%","Bitter Grammarian",300811
"Table of Contents","Encyclopedia","Final Draft Derby","-","40.10%","Mythweaver",300811
"Table of Contents","Pre-Encyclopedia","Thousandth Draft Derby","-","100%","M1000",1
"Table of Contents","Encyclopedia","Thousandth Draft Derby","-","100%","M1000",1
