"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Hero","Rancid Radioactive Blue","-","21.06%","Mutated Siblings",5669
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.90%","Sludge",5669
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.52%","Swamp Runner",5669
"Toxic Spill","Hero","Rancid Radioactive Blue","-","16.67%","Spore",5669
"Toxic Spill","Hero","Rancid Radioactive Blue","-","16.56%","Monster Tail",5669
"Toxic Spill","Hero","Rancid Radioactive Blue","-","4.29%","Bog Beast",5669
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","10.10%","Monster Tail",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.47%","Gelatinous Octahedron",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.03%","Spore",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.76%","Biohazard",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.13%","Sludge Soaker",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.13%","Scrap Metal Monster",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.50%","Plague Hag",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.50%","Mutant Ninja",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.41%","Bog Beast",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.28%","Tentacle",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.14%","Telekinetic Mutant",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.24%","Toxic Warrior",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.83%","Slimefist",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.61%","Mutant Mongrel",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.52%","Swamp Runner",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.47%","Sludge",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.47%","Outbreak Assassin",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.11%","Mutated Siblings",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","1.40%","The Menace",2218
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","0.90%","Sludge Swimmer",2218
"Toxic Spill","Knight","Rancid Radioactive Blue","-","30.16%","Monster Tail",6564
"Toxic Spill","Knight","Rancid Radioactive Blue","-","28.67%","Spore",6564
"Toxic Spill","Knight","Rancid Radioactive Blue","-","14.15%","Sludge",6564
"Toxic Spill","Knight","Rancid Radioactive Blue","-","11.18%","Gelatinous Octahedron",6564
"Toxic Spill","Knight","Rancid Radioactive Blue","-","6.15%","Bog Beast",6564
"Toxic Spill","Knight","Rancid Radioactive Blue","-","5.13%","Swamp Runner",6564
"Toxic Spill","Knight","Rancid Radioactive Blue","-","4.54%","Mutated Siblings",6564
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","14.67%","Gelatinous Octahedron",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.33%","Scrap Metal Monster",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.26%","Spore",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.15%","Biohazard",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.05%","Plague Hag",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","6.01%","Sludge Soaker",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.52%","Monster Tail",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.34%","Slimefist",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.20%","Telekinetic Mutant",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","5.20%","Mutant Ninja",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","4.99%","Tentacle",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","4.95%","Outbreak Assassin",2828
"Toxic Spill","Knight","Magical Rancid Radioactive Blue","-","4.46%","Toxic Warrior",2828
