"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Derr Dunes","-","Swiss","-","31.09%","Sylvan",608
"Derr Dunes","-","Swiss","-","11.84%","Mintaka",608
"Derr Dunes","-","Swiss","-","10.03%","Seer",608
"Derr Dunes","-","Swiss","-","9.54%","Trailblazer",608
"Derr Dunes","-","Swiss","-","8.88%","Healer",608
"Derr Dunes","-","Swiss","-","8.55%","Renegade",608
"Derr Dunes","-","Swiss","-","8.39%","Spellbinder",608
"Derr Dunes","-","Swiss","-","7.89%","Wordsmith",608
"Derr Dunes","-","Swiss","-","3.78%","Grunt",608
"Elub Shore","-","Swiss","-","21.01%","Pinchy",238
"Elub Shore","-","Swiss","-","19.33%","Alchemist",238
"Elub Shore","-","Swiss","-","11.34%","Taleweaver",238
"Elub Shore","-","Swiss","-","11.34%","Scout",238
"Elub Shore","-","Swiss","-","8.82%","Vanquisher",238
"Elub Shore","-","Swiss","-","8.40%","Soothsayer",238
"Elub Shore","-","Swiss","-","7.98%","Alnitak",238
"Elub Shore","-","Swiss","-","7.98%","Mystic",238
"Elub Shore","-","Swiss","-","3.78%","Pack",238
"Nerg Plains","-","Swiss","-","27.97%","Chameleon",497
"Nerg Plains","-","Swiss","-","10.46%","Beast Tamer",497
"Nerg Plains","-","Swiss","-","10.06%","Narrator",497
"Nerg Plains","-","Swiss","-","10.06%","Conjurer",497
"Nerg Plains","-","Swiss","-","9.86%","Pathfinder",497
"Nerg Plains","-","Swiss","-","9.66%","Caretaker",497
"Nerg Plains","-","Swiss","-","9.26%","Conqueror",497
"Nerg Plains","-","Swiss","-","7.65%","Alnilam",497
"Nerg Plains","-","Swiss","-","5.03%","Finder",497
"Derr Dunes","-","Brie","-","27.49%","Sylvan",4482
"Derr Dunes","-","Brie","-","13.59%","Trailblazer",4482
"Derr Dunes","-","Brie","-","9.55%","Mintaka",4482
"Derr Dunes","-","Brie","-","9.55%","Seer",4482
"Derr Dunes","-","Brie","-","9.10%","Spellbinder",4482
"Derr Dunes","-","Brie","-","8.84%","Healer",4482
"Derr Dunes","-","Brie","-","8.84%","Wordsmith",4482
"Derr Dunes","-","Brie","-","8.55%","Renegade",4482
"Derr Dunes","-","Brie","-","4.51%","Grunt",4482
"Elub Shore","-","Brie","-","26.88%","Pinchy",9901
"Elub Shore","-","Brie","-","13.60%","Alchemist",9901
"Elub Shore","-","Brie","-","9.48%","Alnitak",9901
"Elub Shore","-","Brie","-","9.23%","Soothsayer",9901
"Elub Shore","-","Brie","-","9.14%","Scout",9901
"Elub Shore","-","Brie","-","9.08%","Vanquisher",9901
"Elub Shore","-","Brie","-","9.07%","Mystic",9901
"Elub Shore","-","Brie","-","9.05%","Taleweaver",9901
"Elub Shore","-","Brie","-","4.46%","Pack",9901
"Nerg Plains","-","Brie","-","27.78%","Chameleon",5602
"Nerg Plains","-","Brie","-","13.28%","Narrator",5602
"Nerg Plains","-","Brie","-","9.39%","Caretaker",5602
"Nerg Plains","-","Brie","-","9.23%","Alnilam",5602
"Nerg Plains","-","Brie","-","9.03%","Conqueror",5602
"Nerg Plains","-","Brie","-","9.00%","Conjurer",5602
"Nerg Plains","-","Brie","-","8.96%","Beast Tamer",5602
"Nerg Plains","-","Brie","-","8.59%","Pathfinder",5602
"Nerg Plains","-","Brie","-","4.75%","Finder",5602
"Derr Dunes","-","Gouda","-","15.46%","Renegade",105897
"Derr Dunes","-","Gouda","-","15.45%","Seer",105897
"Derr Dunes","-","Gouda","-","15.44%","Mintaka",105897
"Derr Dunes","-","Gouda","-","15.33%","Spellbinder",105897
"Derr Dunes","-","Gouda","-","11.61%","Grunt",105897
"Derr Dunes","-","Gouda","-","11.57%","Trailblazer",105897
"Derr Dunes","-","Gouda","-","7.66%","Wordsmith",105897
"Derr Dunes","-","Gouda","-","7.48%","Healer",105897
"Elub Shore","-","Gouda","-","15.69%","Vanquisher",37905
"Elub Shore","-","Gouda","-","15.58%","Mystic",37905
"Elub Shore","-","Gouda","-","15.58%","Soothsayer",37905
"Elub Shore","-","Gouda","-","15.29%","Alnitak",37905
"Elub Shore","-","Gouda","-","11.68%","Pack",37905
"Elub Shore","-","Gouda","-","11.17%","Alchemist",37905
"Elub Shore","-","Gouda","-","7.57%","Taleweaver",37905
"Elub Shore","-","Gouda","-","7.43%","Scout",37905
"Nerg Plains","-","Gouda","-","15.59%","Conqueror",35923
"Nerg Plains","-","Gouda","-","15.43%","Conjurer",35923
"Nerg Plains","-","Gouda","-","15.31%","Beast Tamer",35923
"Nerg Plains","-","Gouda","-","15.05%","Alnilam",35923
"Nerg Plains","-","Gouda","-","11.83%","Finder",35923
"Nerg Plains","-","Gouda","-","11.20%","Narrator",35923
"Nerg Plains","-","Gouda","-","7.86%","Pathfinder",35923
"Nerg Plains","-","Gouda","-","7.73%","Caretaker",35923
"Derr Dunes","-","SB+","-","17.48%","Mintaka",12545
"Derr Dunes","-","SB+","-","17.45%","Seer",12545
"Derr Dunes","-","SB+","-","17.28%","Grunt",12545
"Derr Dunes","-","SB+","-","17.10%","Spellbinder",12545
"Derr Dunes","-","SB+","-","16.99%","Renegade",12545
"Derr Dunes","-","SB+","-","4.97%","Trailblazer",12545
"Derr Dunes","-","SB+","-","4.46%","Wordsmith",12545
"Derr Dunes","-","SB+","-","4.27%","Healer",12545
"Elub Shore","-","SB+","-","18.00%","Alnitak",11228
"Elub Shore","-","SB+","-","17.83%","Vanquisher",11228
"Elub Shore","-","SB+","-","17.45%","Pack",11228
"Elub Shore","-","SB+","-","17.00%","Mystic",11228
"Elub Shore","-","SB+","-","16.72%","Soothsayer",11228
"Elub Shore","-","SB+","-","4.75%","Alchemist",11228
"Elub Shore","-","SB+","-","4.23%","Scout",11228
"Elub Shore","-","SB+","-","4.03%","Taleweaver",11228
"Nerg Plains","-","SB+","-","17.42%","Alnilam",10795
"Nerg Plains","-","SB+","-","17.36%","Beast Tamer",10795
"Nerg Plains","-","SB+","-","17.16%","Conjurer",10795
"Nerg Plains","-","SB+","-","17.00%","Conqueror",10795
"Nerg Plains","-","SB+","-","16.90%","Finder",10795
"Nerg Plains","-","SB+","-","5.19%","Narrator",10795
"Nerg Plains","-","SB+","-","4.59%","Caretaker",10795
"Nerg Plains","-","SB+","-","4.39%","Pathfinder",10795
"Derr Dunes","-","Crunchy","-","58.91%","Guardian",33804
"Derr Dunes","-","Crunchy","-","27.33%","Gladiator",33804
"Derr Dunes","-","Crunchy","-","13.76%","Derr Chieftain",33804
"Elub Shore","-","Shell","-","58.26%","Protector",25546
"Elub Shore","-","Shell","-","28.04%","Champion",25546
"Elub Shore","-","Shell","-","13.70%","Elub Chieftain",25546
"Nerg Plains","-","Gumbo","-","58.13%","Defender",25468
"Nerg Plains","-","Gumbo","-","27.83%","Slayer",25468
"Nerg Plains","-","Gumbo","-","14.04%","Nerg Chieftain",25468
"Cape Clawed","-","Swiss","-","9.23%","Pathfinder",1040
"Cape Clawed","-","Swiss","-","9.23%","Taleweaver",1040
"Cape Clawed","-","Swiss","-","8.65%","Healer",1040
"Cape Clawed","-","Swiss","-","8.17%","Scout",1040
"Cape Clawed","-","Swiss","-","7.98%","Wordsmith",1040
"Cape Clawed","-","Swiss","-","7.88%","Chameleon",1040
"Cape Clawed","-","Swiss","-","7.69%","Trailblazer",1040
"Cape Clawed","-","Swiss","-","7.50%","Alchemist",1040
"Cape Clawed","-","Swiss","-","7.21%","Narrator",1040
"Cape Clawed","-","Swiss","-","7.12%","Sylvan",1040
"Cape Clawed","-","Swiss","-","7.02%","Caretaker",1040
"Cape Clawed","-","Swiss","-","6.63%","Shipwrecked",1040
"Cape Clawed","-","Swiss","-","5.67%","Pinchy",1040
"Cape Clawed","-","Brie","-","9.34%","Taleweaver",1778
"Cape Clawed","-","Brie","-","8.32%","Alchemist",1778
"Cape Clawed","-","Brie","-","8.27%","Pathfinder",1778
"Cape Clawed","-","Brie","-","8.04%","Chameleon",1778
"Cape Clawed","-","Brie","-","7.99%","Caretaker",1778
"Cape Clawed","-","Brie","-","7.93%","Narrator",1778
"Cape Clawed","-","Brie","-","7.54%","Wordsmith",1778
"Cape Clawed","-","Brie","-","7.48%","Scout",1778
"Cape Clawed","-","Brie","-","7.42%","Pinchy",1778
"Cape Clawed","-","Brie","-","7.42%","Shipwrecked",1778
"Cape Clawed","-","Brie","-","7.14%","Sylvan",1778
"Cape Clawed","-","Brie","-","6.69%","Trailblazer",1778
"Cape Clawed","-","Brie","-","6.41%","Healer",1778
"Cape Clawed","-","Gouda","-","10.28%","Caretaker",8151
"Cape Clawed","-","Gouda","-","10.26%","Narrator",8151
"Cape Clawed","-","Gouda","-","10.15%","Alchemist",8151
"Cape Clawed","-","Gouda","-","10.07%","Wordsmith",8151
"Cape Clawed","-","Gouda","-","10.00%","Trailblazer",8151
"Cape Clawed","-","Gouda","-","9.95%","Pathfinder",8151
"Cape Clawed","-","Gouda","-","9.95%","Healer",8151
"Cape Clawed","-","Gouda","-","9.89%","Taleweaver",8151
"Cape Clawed","-","Gouda","-","9.36%","Scout",8151
"Cape Clawed","-","Gouda","-","2.66%","Sylvan",8151
"Cape Clawed","-","Gouda","-","2.53%","Chameleon",8151
"Cape Clawed","-","Gouda","-","2.49%","Shipwrecked",8151
"Cape Clawed","-","Gouda","-","2.42%","Pinchy",8151
"Cape Clawed","-","SB+","-","8.62%","Taleweaver",2923
"Cape Clawed","-","SB+","-","8.48%","Wordsmith",2923
"Cape Clawed","-","SB+","-","8.11%","Shipwrecked",2923
"Cape Clawed","-","SB+","-","7.90%","Healer",2923
"Cape Clawed","-","SB+","-","7.80%","Alchemist",2923
"Cape Clawed","-","SB+","-","7.56%","Sylvan",2923
"Cape Clawed","-","SB+","-","7.46%","Narrator",2923
"Cape Clawed","-","SB+","-","7.36%","Pathfinder",2923
"Cape Clawed","-","SB+","-","7.25%","Chameleon",2923
"Cape Clawed","-","SB+","-","6.98%","Pinchy",2923
"Cape Clawed","-","SB+","-","6.91%","Trailblazer",2923
"Cape Clawed","-","SB+","-","6.88%","Caretaker",2923
"Cape Clawed","-","SB+","-","6.88%","Scout",2923
"Cape Clawed","-","SB+","-","1.81%","Nibbler",2923
"Cape Clawed","-","Crunchy","-","40.09%","Aged",17927
"Cape Clawed","-","Crunchy","-","20.13%","Wordsmith",17927
"Cape Clawed","-","Crunchy","-","19.27%","Trailblazer",17927
"Cape Clawed","-","Crunchy","-","19.23%","Healer",17927
"Cape Clawed","-","Crunchy","-","1.28%","Sylvan",17927
"Cape Clawed","-","Shell","-","39.54%","Elder",13007
"Cape Clawed","-","Shell","-","19.88%","Taleweaver",13007
"Cape Clawed","-","Shell","-","19.83%","Alchemist",13007
"Cape Clawed","-","Shell","-","19.63%","Scout",13007
"Cape Clawed","-","Shell","-","1.12%","Pinchy",13007
"Cape Clawed","-","Gumbo","-","40.04%","Grandfather",12933
"Cape Clawed","-","Gumbo","-","19.94%","Pathfinder",12933
"Cape Clawed","-","Gumbo","-","19.40%","Narrator",12933
"Cape Clawed","-","Gumbo","-","19.21%","Caretaker",12933
"Cape Clawed","-","Gumbo","-","1.41%","Chameleon",12933
"Jungle of Dread","-","Brie","-","100.00%","Sylvan",930
"Jungle of Dread","-","Gouda","-","86.36%","Swarm of Pygmy Mice",13299
"Jungle of Dread","-","Gouda","-","10.68%","Sylvan",13299
"Jungle of Dread","-","Gouda","-","2.96%","Pygmy Wrangler",13299
"Jungle of Dread","-","SB+","-","89.13%","Swarm of Pygmy Mice",13185
"Jungle of Dread","-","SB+","-","10.87%","Pygmy Wrangler",13185
"Jungle of Dread","-","Pungent Havarti","-","100.00%","Chitinous",3819
"Jungle of Dread","-","Crunchy Havarti","-","100.00%","Fetid Swamp",3849
"Jungle of Dread","-","Creamy Havarti","-","100.00%","Jurassic",3924
"Jungle of Dread","-","Spicy Havarti","-","100.00%","Magma Carrier",6511
"Jungle of Dread","-","Sweet Havarti","-","100.00%","Primal",5364
"Jungle of Dread","-","Magical Havarti","-","100.00%","Stonework Warrior",6950
"Dracano","-","Inferno Havarti","-","36.38%","Dragon",40152
"Dracano","-","Inferno Havarti","-","35.94%","Whelpling",40152
"Dracano","-","Inferno Havarti","-","27.68%","Draconic Warden",40152
