"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Windmill","-","Cheddar","-","20.85%","Field",1017
"Windmill","-","Cheddar","-","19.57%","Scruffy",1017
"Windmill","-","Cheddar","-","16.81%","White",1017
"Windmill","-","Cheddar","-","14.95%","Brown",1017
"Windmill","-","Cheddar","-","14.36%","Grey",1017
"Windmill","-","Cheddar","-","9.64%","Dwarf",1017
"Windmill","-","Cheddar","-","3.83%","Spud",1017
"Windmill","-","White Cheddar","-","37.37%","Field",4372
"Windmill","-","White Cheddar","-","34.84%","Scruffy",4372
"Windmill","-","White Cheddar","-","18.96%","Dwarf",4372
"Windmill","-","White Cheddar","-","8.83%","Spud",4372
"Windmill","-","Marble","-","12.60%","Dwarf",857
"Windmill","-","Marble","-","12.49%","Pugilist",857
"Windmill","-","Marble","-","11.67%","Longtail",857
"Windmill","-","Marble","-","10.74%","Grey",857
"Windmill","-","Marble","-","9.57%","Brown",857
"Windmill","-","Marble","-","9.57%","Field",857
"Windmill","-","Marble","-","9.22%","White",857
"Windmill","-","Marble","-","8.52%","Scruffy",857
"Windmill","-","Marble","-","7.00%","Spud",857
"Windmill","-","Marble","-","3.62%","Gold",857
"Windmill","-","Marble","-","3.50%","Diamond",857
"Windmill","-","Marble","-","1.52%","Mole",857
"Windmill","-","Swiss","-","26.11%","Dwarf",2987
"Windmill","-","Swiss","-","23.84%","Longtail",2987
"Windmill","-","Swiss","-","10.58%","Pugilist",2987
"Windmill","-","Swiss","-","10.45%","Scruffy",2987
"Windmill","-","Swiss","-","10.38%","Spud",2987
"Windmill","-","Swiss","-","7.16%","Gold",2987
"Windmill","-","Swiss","-","6.19%","Diamond",2987
"Windmill","-","Swiss","-","5.29%","Mole",2987
"Windmill","-","Brie","-","19.21%","Pugilist",5528
"Windmill","-","Brie","-","18.00%","Longtail",5528
"Windmill","-","Brie","-","16.35%","Flying",5528
"Windmill","-","Brie","-","15.25%","Speedy",5528
"Windmill","-","Brie","-","9.90%","Spud",5528
"Windmill","-","Brie","-","8.63%","Gold",5528
"Windmill","-","Brie","-","7.81%","Diamond",5528
"Windmill","-","Brie","-","4.85%","Mole",5528
"Windmill","-","Gouda","-","25.39%","Dwarf",6420
"Windmill","-","Gouda","-","24.55%","Longtail",6420
"Windmill","-","Gouda","-","10.28%","Pugilist",6420
"Windmill","-","Gouda","-","10.23%","Scruffy",6420
"Windmill","-","Gouda","-","9.17%","Spud",6420
"Windmill","-","Gouda","-","7.20%","Diamond",6420
"Windmill","-","Gouda","-","6.92%","Gold",6420
"Windmill","-","Gouda","-","6.26%","Mole",6420
"Windmill","-","SB+","-","20.01%","Flying",6347
"Windmill","-","SB+","-","17.25%","Silvertail",6347
"Windmill","-","SB+","-","15.66%","Farmhand",6347
"Windmill","-","SB+","-","11.66%","Tiny",6347
"Windmill","-","SB+","-","10.76%","Diamond",6347
"Windmill","-","SB+","-","10.43%","Gold",6347
"Windmill","-","SB+","-","7.72%","Spud",6347
"Windmill","-","SB+","-","6.51%","Mole",6347
"Windmill","-","Grilled","-","100.00%","Captain Croissant",4557
