"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Zokor","Fealty 15+","Glowing Gruyere","-","36.89%","Masked Pikeman",2575
"Zokor","Fealty 15+","Glowing Gruyere","-","33.17%","Drudge",2575
"Zokor","Fealty 15+","Glowing Gruyere","-","20.66%","Reanimated Carver",2575
"Zokor","Fealty 15+","Glowing Gruyere","-","9.28%","Battle Cleric",2575
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","30.36%","Masked Pikeman",2717
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","27.27%","Drudge",2717
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","20.35%","Shadow Stalker",2717
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","15.38%","Reanimated Carver",2717
"Zokor","Fealty 15+","SB+/Gouda/Brie","-","6.62%","Battle Cleric",2717
"Zokor","Fealty 50+","Glowing Gruyere","-","34.39%","Battle Cleric",4371
"Zokor","Fealty 50+","Glowing Gruyere","-","30.27%","Sir Fleekio",4371
"Zokor","Fealty 50+","Glowing Gruyere","-","16.70%","Reanimated Carver",4371
"Zokor","Fealty 50+","Glowing Gruyere","-","10.11%","Mind Tearer",4371
"Zokor","Fealty 50+","Glowing Gruyere","-","5.93%","Solemn Soldier",4371
"Zokor","Fealty 50+","Glowing Gruyere","-","1.35%","Drudge",4371
"Zokor","Fealty 50+","Glowing Gruyere","-","1.26%","Masked Pikeman",4371
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","27.92%","Battle Cleric",2862
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","22.99%","Sir Fleekio",2862
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","22.29%","Shadow Stalker",2862
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","12.82%","Reanimated Carver",2862
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","7.13%","Mind Tearer",2862
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","5.45%","Solemn Soldier",2862
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","0.70%","Drudge",2862
"Zokor","Fealty 50+","SB+/Gouda/Brie","-","0.70%","Masked Pikeman",2862
"Zokor","Fealty 80+","Glowing Gruyere","-","32.14%","Battle Cleric",125428
"Zokor","Fealty 80+","Glowing Gruyere","-","28.98%","Sir Fleekio",125428
