"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Zugzwang's Tower","Technic Pawn Pincher","SB+/Gouda/Brie","-","89.52%","Technic Pawn",46038
"Zugzwang's Tower","Technic Pawn Pincher","SB+/Gouda/Brie","-","10.48%","Mystic Pawn",46038
"Zugzwang's Tower","Technic Knights","SB+/Gouda/Brie","-","57.88%","Technic Knight",25305
"Zugzwang's Tower","Technic Knights","SB+/Gouda/Brie","-","22.89%","Mystic Pawn",25305
"Zugzwang's Tower","Technic Knights","SB+/Gouda/Brie","-","19.23%","Technic Pawn",25305
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","40.15%","Technic Bishop",29645
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","27.55%","Technic Knight",29645
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","22.29%","Mystic Pawn",29645
"Zugzwang's Tower","Technic Bishops","SB+/Gouda/Brie","-","10.00%","Technic Pawn",29645
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","40.89%","Technic Rook",27925
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","23.84%","Technic Bishop",27925
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","18.79%","Mystic Pawn",27925
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","8.40%","Technic Knight",27925
"Zugzwang's Tower","Technic Rooks","SB+/Gouda/Brie","-","8.09%","Technic Pawn",27925
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","28.78%","Technic Queen",15609
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","19.90%","Mystic Pawn",15609
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","19.05%","Technic Rook",15609
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","18.66%","Technic Bishop",15609
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","11.39%","Technic Knight",15609
"Zugzwang's Tower","Technic Queen","SB+/Gouda/Brie","-","2.22%","Technic Pawn",15609
"Zugzwang's Tower","Technic Queen","Checkmate","-","31.80%","Technic Queen",4054
"Zugzwang's Tower","Technic Queen","Checkmate","-","17.83%","Technic Rook",4054
"Zugzwang's Tower","Technic Queen","Checkmate","-","18.99%","Mystic Pawn",4054
"Zugzwang's Tower","Technic Queen","Checkmate","-","15.96%","Technic Bishop",4054
"Zugzwang's Tower","Technic Queen","Checkmate","-","13.71%","Technic Knight",4054
"Zugzwang's Tower","Technic Queen","Checkmate","-","1.70%","Technic Pawn",4054
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","17.61%","Technic Bishop",6171
"Zugzwang's Tower","Technic King","SB+/Gouda/Brie","-","16.98%","Technic Queen",6171
